Wholesale Credit RWA - June 30 2025 (in millions),Basel III Advanced RWA
Corporate,447945
Bank,13601
Sovereign,44451
Income-producing real estate,65560
High volatility commercial real estate,480
Total wholesale credit RWA,572037
