Pillar 3 Requirement,Description,Pillar 3 Report page reference,2Q25 Form 10-Q page reference,2024 Form 10-K page reference
Capital structure,Components of capital,5,45,"174, 175, 289, 291, 293"
,Terms and conditions of capital instruments,5,,"289, 291, 293"
Capital adequacy,Risk-weighted assets by risk stripe,6,,104
,Capital requirements,6,44,100
,Capital adequacy assessment process,7,43,"97, 98"
,Regulatory capital metrics,8,177,"102, 301"
"Credit risk: general disclosures",Policies and practices,9,58,"117, 207, 235, 243, 302"
,Credit risk exposures,10,"59, 84","117, 150"
,Retail - Distribution of exposure,11,"59, 142, 180","120, 248, 255, 303"
,Retail - Allowance for Credit Losses,10,"143, 157","249, 250, 268"
,Wholesale - Distribution of exposure,13,"65, 134, 149, 179","126, 235, 258, 303"
,Wholesale - Allowance for Credit Losses,10,"149, 157","261, 268"
Credit risk: IRB,Parameter estimation methods,"11, 13",,
,RWA,"11, 13",,
Counterparty credit,Parameter estimation methods,14,,
,Policies and practices,9,,"207, 240, 308"
,Counterparty credit risk exposure,14,,"120, 126, 209, 240"
,Credit derivatives purchased and sold,10,72,"134, 135, 136, 220"
Credit risk mitigation,Policies and practices,10,,"209, 243, 308"
,Exposure covered by guarantees and CDS,"13, 14",,
Securitization,"Objectives, vehicles, accounting policies",15,160,"181, 209, 271"
,Securitization RWA,16,,
,Securitization exposure,17,,
,Assets securitized,17,,
,Current year securitization activity,18,,
Equity risk not subject to the market risk capital rules,Policies and practices,19,"76, 83","140, 177, 181, 186, 229, 235"
,Carrying value and fair value,19,"98, 134",
,Realized and unrealized gains/(losses),19,,
,Equity investments by risk weight,19,,
Market risk,Material portfolio of covered positions,20,,
,Value-at-risk,20,77,143
,Regulatory market risk capital models,21,,
,Stress testing,24,,146
Interest rate risk for traditional banking activities,Interest rate risk for traditional banking activities,25,81,146
Operational risk,Operational risk description,26,,153
Supplementary leverage ratio (SLR),Overview of SLR,"8, 27","44, 46",104
,Components of SLR,27,,
