Securitization Exposure by Collateral Type - June 30 2025 (in millions),On-balance sheet,Off-balance sheet (a),Total,RWA
Residential mortgages,39405,1616,41021,9623
Commercial mortgages,45735,942,46677,11282
Commercial and industrial loans,113894,27528,141422,31126
Consumer auto loans,20063,7576,27639,6420
Student loans,8832,948,9780,2183
Municipal bonds,38,5989,6027,1609
Other,14379,4655,19034,4819
Total securitization exposure,242346,49254,291600,67062
