Basel III Advanced RWA Rollforward - Three months ended June 30 2025 (in millions),Credit risk (c)(d),Market risk,Operational risk,Total
March 31 2025,1256984,99964,442107,1799055
Model & data changes (a),-2204,-258,0,-2462
Movement in portfolio levels (b),65339,4222,6988,76549
Changes in RWA,63135,3964,6988,74087
June 30 2025,1320119,103928,449095,1873142
