Components of Capital - June 30 2025 (in millions),Basel III Advanced
Total stockholders' equity,356924
Less: Preferred stock,20045
Common stockholders' equity,336879
Less: Goodwill (a),54113
Less: Other intangible assets,2722
Add: Deferred tax liabilities (b),2923
Add: Other CET1 capital adjustments (c),887
CET1 capital,283854
Preferred stock,20045
Other Tier 1 capital adjustments,0
Less: Tier 1 capital deductions,710
Total Tier 1 capital,303189
Long-term debt and other instruments qualifying as Tier 2 capital,10487
Qualifying allowance for credit losses (d)(e),7835
Other Tier 2 capital adjustments,0
Less: Tier 2 capital deductions,702
Total Tier 2 capital,17620
Total capital,320809
