Summary of Credit Risk RWA - June 30 2025 (in millions),Basel III Advanced RWA
Retail exposures,223100
Wholesale exposures,572037
Counterparty exposures,151002
Securitization exposures (a),63869
Equity exposures,65092
Other exposures (b)(c),186264
CVA,62331
Less: Excess eligible credit reserves not included in Tier 2 capital,3576
Total credit risk RWA,1320119
