Schedule,Item,Description,CCF,MDRM_ColA_Face,MDRM_ColB_CreditEquiv,MDRM_ColC_0pct,MDRM_ColD_2pct,MDRM_ColE_4pct,MDRM_ColF_10pct,MDRM_ColG_20pct,MDRM_ColH_50pct,MDRM_ColI_100pct,MDRM_ColJ_150pct
HC-R-II,12.,Financial standby letters of credit,1.0,BHCK D991,BHCK D992,BHCK D993,BHCK HJ92,BHCK HJ93,,BHCK D994,BHCK D995,BHCK D996,BHCK S511
HC-R-II,13.,Performance standby letters of credit and transaction-related contingent items,0.5,BHCK D997,BHCK D998,BHCK D999,,,,BHCK G603,BHCK G604,BHCK G605,BHCK S512
HC-R-II,14.,Commercial and similar letters of credit (original maturity <= 1 year),0.2,BHCK G606,BHCK G607,BHCK G608,BHCK HJ94,BHCK HJ95,,BHCK G609,BHCK G610,BHCK G611,BHCK S513
HC-R-II,15.,Retained recourse on small business obligations sold with recourse,1.0,BHCK G612,BHCK G613,BHCK G614,,,,BHCK G615,BHCK G616,BHCK G617,BHCK S514
HC-R-II,16.,Repo-style transactions,1.0,BHCK S515,BHCK S516,BHCK S517,BHCK S518,BHCK S519,,BHCK S520,BHCK S521,BHCK S522,BHCK S523
HC-R-II,17.,All other off-balance sheet liabilities,1.0,BHCK G618,BHCK G619,BHCK G620,,,,BHCK G621,BHCK G622,BHCK G623,BHCK S524
HC-R-II,18.a.,Unused commitments: Original maturity of one year or less,0.2,BHCK S525,BHCK S526,BHCK S527,BHCK HJ96,BHCK HJ97,,BHCK S528,BHCK S529,BHCK S530,BHCK S531
HC-R-II,18.b.,Unused commitments: Original maturity exceeding one year,0.5,BHCK G624,BHCK G625,BHCK G626,BHCK HJ98,BHCK HJ99,,BHCK G627,BHCK G628,BHCK G629,BHCK S539
HC-R-II,19.,Unconditionally cancelable commitments,0.0,BHCK S540,BHCK S541,,,,,,,,
HC-R-II,20.,Over-the-counter derivatives,,,BHCK S542,BHCK S543,BHCK HK00,BHCK HK01,BHCK S544,BHCK S545,BHCK S546,BHCK S547,BHCK S548
HC-R-II,21.,Centrally cleared derivatives,,,BHCK S549,BHCK S550,BHCK S551,BHCK S552,,BHCK S554,BHCK S555,BHCK S556,BHCK S557
HC-R-II,22.,Unsettled transactions (failed trades),,BHCK H191,,BHCK H193,,,,BHCK H194,BHCK H195,BHCK H196,BHCK H197
