Schedule,Item,Description,MDRM,Column
HC-R-I,20.,Additional tier 1 capital instruments plus related surplus,BHCA P860,Amount
HC-R-I,21.,Non-qualifying capital instruments subject to phase out from additional tier 1 capital,BHCA P861,Amount
HC-R-I,22.,Tier 1 minority interest not included in common equity tier 1 capital,BHCA P862,Amount
HC-R-I,23.,Additional tier 1 capital before deductions (sum of items 20 21 and 22),BHCA P863,Amount
HC-R-I,24.,LESS: Additional tier 1 capital deductions,BHCA P864,Amount
HC-R-I,25.,Additional tier 1 capital (greater of item 23 minus item 24 or zero),BHCA P865,Amount
HC-R-I,26.,Tier 1 capital,BHCA 8274,Amount
HC-R-I,27.,Average total consolidated assets,BHCA KW03,Amount
HC-R-I,28.,LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,BHCA P875,Amount
HC-R-I,29.,LESS: Other deductions from (additions to) assets for leverage ratio purposes,BHCA B596,Amount
HC-R-I,30.,Total assets for the leverage ratio (item 27 minus items 28 and 29),BHCA A224,Amount
HC-R-I,31.,Leverage ratio (item 26 divided by item 30),BHCA 7204,Percentage
HC-R-I,31.a.,CBLR framework election (0=No 1=Yes),BHCA LE74,Flag
HC-R-I,31.b.,SA-CCR opt-in election (1=Yes blank=No),BHCA NC99,Flag
HC-R-I,32.,Total assets (CBLR only),BHCA 2170 / BHCA KX78,Amount / Percentage
HC-R-I,33.,Trading assets and trading liabilities (CBLR only),BHCA KX77 / BHCA KX78,Amount / Percentage
HC-R-I,34.a.,Off-balance sheet: Conditionally cancellable commitments,BHCA KX79,Amount
HC-R-I,34.b.,Off-balance sheet: Securities lent and borrowed,BHCA KX80,Amount
HC-R-I,34.c.,Off-balance sheet: Other,BHCA KX81,Amount
HC-R-I,34.d.,Off-balance sheet: Total,BHCA KX82 / BHCA KX83,Amount / Percentage
HC-R-I,35.,Unconditionally cancellable commitments,BHCA S540,Amount
HC-R-I,36.,Investments in tier 2 capital of unconsolidated financial institutions,BHCA LB61,Amount
HC-R-I,37.,Tier 2 capital instruments plus related surplus,BHCA P866,Amount
HC-R-I,38.,Non-qualifying capital instruments subject to phase out from tier 2 capital,BHCA P867,Amount
HC-R-I,39.,Total capital minority interest not included in tier 1 capital,BHCA P868,Amount
HC-R-I,40.a.,AACL includable in tier 2 capital,BHCA 5310,Amount
HC-R-I,40.b.,Eligible credit reserves includable in tier 2 capital (advanced only),BHCW 5310,Amount
HC-R-I,42.a.,Tier 2 capital before deductions (non-advanced),BHCA P870,Amount
HC-R-I,42.b.,Tier 2 capital before deductions (advanced),BHCW P870,Amount
HC-R-I,43.,LESS: Tier 2 capital deductions,BHCA P872,Amount
HC-R-I,44.a.,Tier 2 capital (non-advanced),BHCA 5311,Amount
HC-R-I,44.b.,Tier 2 capital (advanced),BHCW 5311,Amount
HC-R-I,45.a.,Total capital (non-advanced),BHCA 3792,Amount
HC-R-I,45.b.,Total capital (advanced),BHCW 3792,Amount
HC-R-I,46.a.,Total risk-weighted assets (from HC-R Part II item 31),BHCA A223,Amount
HC-R-I,46.b.,Total risk-weighted assets using advanced approaches,BHCW A223,Amount
HC-R-I,47.,Common equity tier 1 capital ratio,BHCA P793 / BHCW P793,Percentage (Col A / Col B)
HC-R-I,48.,Tier 1 capital ratio,BHCA 7206 / BHCW 7206,Percentage (Col A / Col B)
HC-R-I,49.,Total capital ratio,BHCA 7205 / BHCW 7205,Percentage (Col A / Col B)
HC-R-I,50.,Capital conservation buffer,BHCA H311,Percentage
HC-R-I,51.,Eligible retained income,BHCA H313,Amount
HC-R-I,52.,Distributions and discretionary bonus payments during the quarter,BHCA H314,Amount
HC-R-I,53.,Supplementary leverage ratio,BHCA H036,Percentage
HC-R-I,54.,Outstanding eligible long-term debt,BHCA LF21,Amount
HC-R-I,55.,Total loss absorbing capacity,BHCA LF22,Amount
HC-R-I,56.,LTD and TLAC total RWA ratios,BHCA LF23 / BHCW LF23,Percentage (Col A / Col B)
HC-R-I,57.,Top-tier U.S. GSIB LTD and TLAC RWA ratios (advanced),BHCA MK66 / BHCW MK66,Percentage (Col A / Col B)
HC-R-I,58.,IHC LTD and TLAC leverage ratios (foreign GSIBs only),BHCA LF24 / BHCW LF24,Percentage (Col A / Col B)
HC-R-I,59.,LTD and TLAC supplementary leverage ratios,BHCA LF25 / BHCW LF25,Percentage (Col A / Col B)
HC-R-I,60.a.,Capital conservation buffer requirement: Stress capital buffer or 2.500%,BHCA LE85 / BHCW LE85,Percentage (Col A / Col B)
HC-R-I,60.b.,Capital conservation buffer requirement: GSIB surcharge,BHCA LE86 / BHCW LE86,Percentage (Col A / Col B)
HC-R-I,60.c.,Capital conservation buffer requirement: Countercyclical capital buffer,BHCA LE87 / BHCW LE87,Percentage (Col A / Col B)
HC-R-I,61.,Capital conservation buffer,BHCA MK76 / BHCW H311,Percentage (Col A / Col B)
HC-R-I,62.a.,TLAC risk-weighted asset buffer,BHCA LF27,Percentage
HC-R-I,62.b.,TLAC leverage buffer,BHCA LF28,Percentage
HC-R-I,63.,Total leverage exposure for SLR,BHCA LE88,Amount
HC-R-I,64.,Leverage buffer requirement,BHCA LE89,Percentage
HC-R-I,65.,Leverage ratio buffer,BHCA LE90,Percentage
HC-R-I,66.,Eligible retained income (capital plan rule),BHCA MK77,Amount
HC-R-I,67.,Maximum payout ratio,BHCA LE91,Percentage
HC-R-I,68.,Maximum payout amount,BHCA LE92,Amount
HC-R-I,69.,Distributions and discretionary bonus payments during the quarter (capital plan rule),BHCA MK78,Amount
