Schedule,Item,Description,MDRM,Amount_Thousands
HI,5.d.(1),Fees and commissions from securities brokerage,BHCK C886,4323000
HI,5.d.(2),Investment banking advisory and underwriting fees and commissions,BHCK C888,14587000
HI,5.d.(3),Fees and commissions from annuity sales,BHCK C887,6000
HI,5.d.(4),Underwriting income from insurance and reinsurance activities,BHCK C386,0
HI,5.d.(5),Income from other insurance activities,BHCK C387,0
HI,5.d.(6),Fees and commissions from securities brokerage investment banking advisory and underwriting,BHCK KX46,
HI,5.d.(7),Income from insurance activities,BHCK KX47,
HI,5.e.,Venture capital revenue,BHCK B491,0
HI,5.f.,Net servicing fees,BHCK B492,3000
HI,5.g.,Net securitization income,BHCK B493,207000
HI,5.i.,Net gains (losses) on sales of loans and leases,BHCK 8560,10000
HI,5.j.,Net gains (losses) on sales of other real estate owned,BHCK 8561,-3000
HI,5.k.,Net gains (losses) on sales of other assets,BHCK B496,19000
HI,5.l.,Other noninterest income,BHCK B497,449000
HI,5.m.,Total noninterest income (sum of items 5.a through 5.l),BHCK 4079,35061000
HI,6.a.,Realized gains (losses) on held-to-maturity securities,BHCK 3521,0
HI,6.b.,Realized gains (losses) on available-for-sale debt securities,BHCK 3196,-59000
HI,7.a.,Salaries and employee benefits,BHCK 4135,14241000
HI,7.b.,Expenses of premises and fixed assets (net of rental income),BHCK 4217,906000
HI,7.c.(1),Goodwill impairment losses,BHCK C216,3000
HI,7.c.(2),Amortization expense and impairment losses for other intangible assets,BHCK C232,63000
HI,7.d.,Other noninterest expense,BHCK 4092,12609000
HI,7.e.,Total noninterest expense (sum of items 7.a through 7.d),BHCK 4093,27822000
HI,8.a.,Income (loss) before change in net unrealized holding gains (losses) on equity securities not held for trading applicable income taxes and discontinued operations,BHCK HT69,16021000
HI,8.b.,Change in net unrealized holding gains (losses) on equity securities not held for trading,BHCK HT70,0
HI,8.c.,Income (loss) before applicable income taxes and discontinued operations (sum of items 8.a and 8.b),BHCK 4301,16021000
HI,9.,Applicable income taxes (on item 8.c),BHCK 4302,3438000
HI,10.,Income (loss) before discontinued operations (item 8.c minus item 9),BHCK 4300,12583000
HI,11.,Discontinued operations net of applicable income taxes,BHCK FT28,0
HI,12.,Net income (loss) attributable to holding company and noncontrolling (minority) interests (sum of items 10 and 11),BHCK G104,12583000
HI,13.,LESS: Net income (loss) attributable to noncontrolling (minority) interests,BHCK G103,24000
HI,14.,Net income (loss) attributable to holding company (item 12 minus item 13),BHCK 4340,12559000
