Schedule,Item,Description,MDRM_BanksSecFirms,MDRM_HedgeFunds,MDRM_SovereignGovts,MDRM_CorpsAllOther
HC-L,15.a.,Net current credit exposure,BHCK G418,BHCK G420,BHCK G421,BHCK G422
HC-L,15.b.(1),Fair value of collateral: Cash U.S. dollar,BHCK G423,BHCK G425,BHCK G426,BHCK G427
HC-L,15.b.(2),Fair value of collateral: Cash Other currencies,BHCK G428,BHCK G430,BHCK G431,BHCK G432
HC-L,15.b.(3),Fair value of collateral: U.S. Treasury securities,BHCK G433,BHCK G435,BHCK G436,BHCK G437
HC-L,15.b.(4),Fair value of collateral: U.S. government agency debt securities,BHCK G438,BHCK G440,BHCK G441,BHCK G442
HC-L,15.b.(5),Fair value of collateral: Corporate bonds,BHCK G443,BHCK G445,BHCK G446,BHCK G447
HC-L,15.b.(6),Fair value of collateral: Equity securities,BHCK G448,BHCK G450,BHCK G451,BHCK G452
HC-L,15.b.(7),Fair value of collateral: All other collateral,BHCK G453,BHCK G455,BHCK G456,BHCK G457
HC-L,15.b.(8),Fair value of collateral: Total,BHCK G458,BHCK G460,BHCK G461,BHCK G462
