Schedule,Item,Description,MDRM_Chargeoffs,Chargeoffs_Thousands,MDRM_Recoveries,Recoveries_Thousands
HI-B-I,1.a.(1),1-4 family residential construction loans,BHCK C891,0,BHCK C892,0
HI-B-I,1.a.(2),Other construction loans and all land development and other land loans,BHCK C893,0,BHCK C894,0
HI-B-I,1.b.,Secured by farmland in domestic offices,BHCK 3584,0,BHCK 3585,0
HI-B-I,1.c.(1),Revolving open-end loans secured by 1-4 family residential properties,BHCK 5411,0,BHCK 5412,0
HI-B-I,1.c.(2)(a),Closed-end loans secured by first liens,BHCK C234,0,BHCK C217,0
HI-B-I,1.c.(2)(b),Closed-end loans secured by junior liens,BHCK C235,0,BHCK C218,0
HI-B-I,1.d.,Secured by multifamily (5 or more) residential properties in domestic offices,BHCK 3588,12000,BHCK 3589,0
HI-B-I,1.e.(1),Loans secured by owner-occupied nonfarm nonresidential properties,BHCK C895,0,BHCK C896,0
HI-B-I,1.e.(2),Loans secured by other nonfarm nonresidential properties,BHCK C897,0,BHCK C898,0
HI-B-I,1.f.,In foreign offices,BHCK B512,0,BHCK B513,0
HI-B-I,3.,Loans to finance agricultural production and other loans to farmers,BHCK 4655,0,BHCK 4665,0
HI-B-I,4.a.,Commercial and industrial loans: To U.S. addressees (domicile),BHCK 4645,178000,BHCK 4617,6000
HI-B-I,4.b.,Commercial and industrial loans: To non-U.S. addressees (domicile),BHCK 4646,6000,BHCK 4618,21000
HI-B-I,5.a.,Credit cards,BHCK B514,1006000,BHCK B515,121000
HI-B-I,5.b.,Automobile loans,BHCK K129,0,BHCK K133,0
HI-B-I,5.c.,Other consumer loans,BHCK K205,1000,BHCK K206,0
HI-B-I,6.,Loans to foreign governments and official institutions,BHCK 4643,0,BHCK 4627,0
HI-B-I,7.,All other loans,BHCK 4644,22000,BHCK 4628,4000
