Schedule,Item,Description,MDRM_ColA_Securitization,MDRM_ColB_OtherVIEs
HC-V,1.a.,Assets of consolidated VIEs: Cash and balances due from depository institutions,BHCK J981,BHCK JF84
HC-V,1.b.,Assets of consolidated VIEs: Securities not held for trading,BHCK HU20,BHCK HU21
HC-V,1.c.,Assets of consolidated VIEs: Loans and leases HFI net of allowance and HFS,BHCK HU22,BHCK HU23
HC-V,1.d.,Assets of consolidated VIEs: Other real estate owned,BHCK K009,BHCK JF89
HC-V,1.e.,Assets of consolidated VIEs: Other assets,BHCK JF91,BHCK JF90
HC-V,2.a.,Liabilities of consolidated VIEs: Other borrowed money,BHCK JF92,BHCK JF85
HC-V,2.b.,Liabilities of consolidated VIEs: Other liabilities,BHCK JF93,BHCK JF86
HC-V,3.,All other assets of consolidated VIEs,BHCK K030,BHCK JF87
HC-V,4.,All other liabilities of consolidated VIEs,BHCK K033,BHCK JF88
Schedule,Item,Description,MDRM
HC-V,5.,Total assets of ABCP conduit VIEs,BHCK JF77
HC-V,6.,Total liabilities of ABCP conduit VIEs,BHCK JF78
