Schedule,Item,Description,MDRM_HTM_AmortizedCost,MDRM_HTM_FairValue,MDRM_AFS_AmortizedCost,MDRM_AFS_FairValue
HC-B-Memo,M.5.a.,ABS: Credit card receivables,BHCK B838,BHCK B839,BHCK B840,BHCK B841
HC-B-Memo,M.5.b.,ABS: Home equity lines,BHCK B842,BHCK B843,BHCK B844,BHCK B845
HC-B-Memo,M.5.c.,ABS: Automobile loans,BHCK B846,BHCK B847,BHCK B848,BHCK B849
HC-B-Memo,M.5.d.,ABS: Other consumer loans,BHCK B850,BHCK B851,BHCK B852,BHCK B853
HC-B-Memo,M.5.e.,ABS: Commercial and industrial loans,BHCK B854,BHCK B855,BHCK B856,BHCK B857
HC-B-Memo,M.5.f.,ABS: Other,BHCK B858,BHCK B859,BHCK B860,BHCK B861
HC-B-Memo,M.6.a.,Structured financial products: Trust preferred securities issued by financial institutions,BHCK G348,BHCK G349,BHCK G350,BHCK G351
HC-B-Memo,M.6.b.,Structured financial products: Trust preferred securities issued by REITs,BHCK G352,BHCK G353,BHCK G354,BHCK G355
HC-B-Memo,M.6.c.,Structured financial products: Corporate and similar loans,BHCK G356,BHCK G357,BHCK G358,BHCK G359
HC-B-Memo,M.6.d.,Structured financial products: 1-4 family residential MBS issued or guaranteed by GSEs,BHCK G360,BHCK G361,BHCK G362,BHCK G363
HC-B-Memo,M.6.e.,Structured financial products: 1-4 family residential MBS not issued or guaranteed by GSEs,BHCK G364,BHCK G365,BHCK G366,BHCK G367
HC-B-Memo,M.6.f.,Structured financial products: Diversified (mixed) pools,BHCK G368,BHCK G369,BHCK G370,BHCK G371
HC-B-Memo,M.6.g.,Structured financial products: Other collateral or reference assets,BHCK G372,BHCK G373,BHCK G374,BHCK G375
