Schedule,Item,Description,MDRM,Amount_Thousands
HI-Memo,M.1.,Net interest income on a fully taxable equivalent basis,BHCK 4519,9965000
HI-Memo,M.2.,Net income before applicable income taxes and discontinued operations on a fully taxable equivalent basis,BHCK 4592,16135000
HI-Memo,M.3.,Income on tax-exempt loans and leases to states and political subdivisions in the U.S.,BHCK 4313,0
HI-Memo,M.4.,Income on tax-exempt securities issued by states and political subdivisions in the U.S.,BHCK 4507,0
HI-Memo,M.5.,Number of full-time equivalent employees at end of current period,BHCK 4150,48300
HI-Memo,M.6.a.,Income and fees from the printing and sale of checks,BHCK C013,0
HI-Memo,M.6.b.,Earnings on/increase in value of cash surrender value of life insurance,BHCK C014,0
HI-Memo,M.6.c.,Income and fees from automated teller machines (ATMs),BHCK C016,0
HI-Memo,M.6.d.,Rent and other income from other real estate owned,BHCK 4042,0
HI-Memo,M.6.e.,Safe deposit box rent,BHCK C015,0
HI-Memo,M.6.f.,Bank card and credit card interchange fees,BHCK F555,-355000
HI-Memo,M.6.g.,Income and fees from wire transfers,BHCK T047,0
HI-Memo,M.6.h.,Fees on loans and lending commitments,BHCK 8562,830000
HI-Memo,M.6.i.,Net gains or losses on loans and lending commitments portfolio,BHCK 8563,-88000
HI-Memo,M.6.j.,Income from consolidated investments,BHCK 8564,55000
HI-Memo,M.7.a.,Data processing expenses,BHCK C017,0
HI-Memo,M.7.b.,Advertising and marketing expenses,BHCK 0497,0
HI-Memo,M.7.c.,Directors fees,BHCK 4136,0
HI-Memo,M.7.d.,Printing stationery and supplies,BHCK C018,0
HI-Memo,M.7.e.,Postage,BHCK 8403,0
HI-Memo,M.7.f.,Legal fees and expenses,BHCK 4141,0
HI-Memo,M.7.g.,FDIC deposit insurance assessments,BHCK 4146,
HI-Memo,M.7.h.,Accounting and auditing expenses,BHCK F556,0
HI-Memo,M.7.i.,Consulting and advisory expenses,BHCK F557,962000
HI-Memo,M.7.j.,Automated teller machine (ATM) and interchange expenses,BHCK F558,0
HI-Memo,M.7.k.,Telecommunications expenses,BHCK F559,0
HI-Memo,M.7.l.,Other real estate owned expenses,BHCK Y923,0
