Schedule,Item,Description,MDRM_ColO_625pct,MDRM_ColP_937pct,MDRM_ColQ_1250pct,MDRM_ColR_CreditEquiv,MDRM_ColS_RWA
HC-R-II,12.,Financial standby letters of credit,,,,,
HC-R-II,13.,Performance standby letters of credit,,,,BHCK H301,BHCK H302
HC-R-II,14.,Commercial and similar letters of credit,,,,BHCK H303,BHCK H304
HC-R-II,15.,Retained recourse on small business obligations,,,,,
HC-R-II,16.,Repo-style transactions,,,,,
HC-R-II,17.,All other off-balance sheet liabilities,,,,,
HC-R-II,18.a.,Unused commitments (original maturity <= 1 year),,,,BHCK H303,BHCK H304
HC-R-II,18.b.,Unused commitments (original maturity > 1 year),,,,BHCK H307,BHCK H308
HC-R-II,19.,Unconditionally cancelable commitments,,,,,
HC-R-II,20.,Over-the-counter derivatives,,,,BHCK H309,BHCK H310
HC-R-II,21.,Centrally cleared derivatives,,,,,
HC-R-II,22.,Unsettled transactions (failed trades),BHCK H198,BHCK H199,BHCK H200,,
