Schedule,Item,Description,MDRM_HTM_AmortizedCost,MDRM_HTM_FairValue,MDRM_AFS_AmortizedCost,MDRM_AFS_FairValue
HC-B,1.,U.S. Treasury securities,BHCK 0211,BHCK 0213,BHCK 1286,BHCK 1287
HC-B,2.,U.S. government agency and sponsored agency obligations (excl MBS),BHCK HT50,BHCK HT51,BHCK HT52,BHCK HT53
HC-B,3.,Securities issued by states and political subdivisions in the U.S.,BHCK 8496,BHCK 8497,BHCK 8498,BHCK 8499
HC-B,4.a.(1),Residential pass-through: Guaranteed by GNMA,BHCK G300,BHCK G301,BHCK G302,BHCK G303
HC-B,4.a.(2),Residential pass-through: Issued by FNMA and FHLMC,BHCK G304,BHCK G305,BHCK G306,BHCK G307
HC-B,4.a.(3),Residential pass-through: Other pass-through securities,BHCK G308,BHCK G309,BHCK G310,BHCK G311
HC-B,4.a.(4),Residential pass-through: Guaranteed by GNMA issued by FNMA and FHLMC and other,BHCK KX52,BHCK KX53,BHCK KX54,BHCK KX55
HC-B,4.b.(1),Other residential MBS: Issued or guaranteed by U.S. Government agencies or sponsored agencies,BHCK G312,BHCK G313,BHCK G314,BHCK G315
HC-B,4.b.(2),Other residential MBS: Collateralized by MBS issued or guaranteed by U.S. Government agencies,BHCK G316,BHCK G317,BHCK G318,BHCK G319
HC-B,4.b.(3),Other residential MBS: All other residential MBS,BHCK G320,BHCK G321,BHCK G322,BHCK G323
HC-B,4.c.(1)(a),Commercial MBS pass-through: Issued or guaranteed by FNMA FHLMC or GNMA,BHCK K142,BHCK K143,BHCK K144,BHCK K145
HC-B,4.c.(1)(b),Commercial MBS pass-through: Other pass-through securities,BHCK K146,BHCK K147,BHCK K148,BHCK K149
HC-B,4.c.(2)(a),Other commercial MBS: Issued or guaranteed by U.S. Government agencies,BHCK K150,BHCK K151,BHCK K152,BHCK K153
HC-B,4.c.(2)(b),Other commercial MBS: All other commercial MBS,BHCK K154,BHCK K155,BHCK K156,BHCK K157
