Table 5: Principal Credit Risk Exposures by Wholesale Exposure Counterparty and Retail Exposure Subcategory,,,,,,,,,,
September 30 2024,,,,,,,,,,
,Wholesale Exposures,,,,,,Retail Exposures,,,
In millions of dollars,Bank,Corporate (3),Sovereign,Other,Netting (4),Residential Mortgages,Qualifying Revolving,Other Retail,Total,
On-Balance Sheet Exposures,,,,,,,,,,
Cash and Due From Banks (Including Segregated Cash and Other Deposits) (5),4599,266,13343,7059,,,,,25266,
Deposits With Banks,8347,193,269288,,,,,,277828,
Federal Funds Sold and Securities Borrowed or Purchased Under Agreements to Resell,127528,482078,18037,,-341715,,,,,285928
Brokerage Receivables,,,,63653,,,,,,63653
Derivatives Receivables (6),173442,108188,18120,87528,-336336,,,0,,50942
Debt Securities,388,120885,359578,1710,,157,,,,482718
Loans Held-for-Investment Net of Unearned Income (7)(8)(9),9276,289814,3784,36367,,149994,172747,26940,,688922
Off-Balance Sheet Exposures,,,,,,,,,,
Guarantees (10),,,,,,,,,,
Financial Standby Letters of Credit,2048,77034,14,,,,,,,79096
Performance Guarantees,420,9684,10,,,,,,,10114
Securities Lending Indemnifications,-49481,157630,,,,,,,,108149
Credit Commitments and Lines of Credit,,,,,,,,,,
Commercial and Similar Letters of Credit,1007,3102,19,,,,,,,4128
One- to Four-Family Residential Mortgages,,7,,,,,773,,311,1091
Revolving Open-End Loans Secured by One- to Four-Family Residential Properties,,,,,,5294,,9,,5303
Commercial Real Estate Construction and Land Development,,13087,,,,,,,,13087
Credit Card Lines (11),21,24126,1896,,,,,632402,23937,682382
Commercial and Other Consumer Loan Commitments,1654,306124,974,18760,,1637,5742,2854,,337744
