Table 8: Residential Mortgage Exposures by Probability of Default,,,,,,,,
In millions of dollars except percentages,September 30 2024,,,,,,,
PD Range Bands,Balance Sheet Amount,Undrawn Exposures (1),Total EAD (2),RWA,PD (3),LGD (3),Risk Weight (3)(5),
0.00% to < 0.10%,87947,5337,89155,4081,0.05%,30.22%,4.58%,
0.10% to < 0.20%,21126,7,21128,2942,0.15%,43.93%,13.93%,
0.20% to < 0.75%,27594,23,27599,7124,0.36%,41.97%,25.81%,
0.75% to < 5.50%,4406,8,4408,3146,1.56%,43.78%,71.37%,
5.50% to < 10.00%,485,,485,901,6.78%,48.83%,185.71%,
10% to < 100.00%,429,,429,970,31.40%,45.02%,226.14%,
100% (Default) (4),2252,5,2257,1852,100.00%,44.45%,82.06%,
Total,144239,5380,145461,21016,1.83%,35.18%,14.45%,
