Table 9: Qualifying Revolving Exposures by Probability of Default,,,,,,,,
In millions of dollars except percentages,September 30 2024,,,,,,,
PD Range Bands,Balance Sheet Amount,Undrawn Exposures (1),Total EAD (2),RWA,PD (3),LGD (3),Risk Weight (3)(5),
0.00% to < 0.50%,54146,548036,175801,13457,0.16%,89.82%,7.65%,
0.50% to < 2.00%,55748,73610,80477,29011,1.08%,90.38%,36.05%,
2.00% to < 3.50%,25384,10753,32781,23278,2.64%,90.84%,71.01%,
3.50% to < 5.00%,12653,2382,15179,14598,4.10%,90.42%,96.18%,
5.00% to < 8.00%,9693,1924,12157,15369,6.12%,91.50%,126.42%,
8.00% to < 100%,14771,1143,16683,30925,34.53%,90.74%,185.37%,
100% (Default) (4),19,50,69,69,100.00%,84.07%,100.00%,
Total,172414,637898,333147,126707,2.76%,90.19%,38.03%,
