Table 13: Notional Amounts of Purchased and Sold Credit Derivatives,,,,,
September 30 2024,,,,,
,Own Credit Portfolio,,Client Intermediation Activities,,
In millions of dollars,Purchased,Sold,Purchased,Sold,
Credit Default Swaps,33685,,469394,452719,
Total Return Swaps,,,42539,8771,
Credit Options,,,54403,53109,
Total Credit Derivatives,33685,0,566336,514599,
