Table 25: Covered Trading Securitization and Re-securitization Positions (Non-CRM Modeled),,,,,
In millions of dollars,As of September 30 2024,,,,
Exposure Type,On-Balance Sheet (1),Off-Balance Sheet (2),Total,RWA,
CMBS,427,734,1161,1254,
RMBS,663,38,701,732,
CDOs/CLOs,512,0,512,1397,
Other ABS,589,266,855,859,
Total,2191,1038,3229,4242,
