Table 24: CRM Risk-Weighted Assets,,,,,
In millions of dollars,As of September 30 2024,,,,
CRM Model Capital (1),CRM-Model RWA (2),8% CRM Floor RWA (3),Final CRM RWA (4),
112,1402,1006,1402,
