Table 19: Securitization Exposures by Collateral Type (1),,,,,,
September 30 2024,,,,,,
,Exposure,,,,,
In millions of dollars,On-Balance Sheet,Off-Balance Sheet,Total,Total RWA,,
Auto Loans,10022,8105,18127,4516,,
Commercial Real Estate Loans,12909,2672,15580,4397,,
Corporate Loans,44709,16985,61694,13111,,
Credit Card Receivables,8567,5433,14000,4925,,
Residential Mortgages,6696,1289,7986,2221,,
Student Loans,892,906,1798,518,,
Other,29951,11334,41285,19403,,
Total,113746,46724,160470,49090,,
