Table 14: Wholesale Banking Book Exposures Covered by Eligible Guarantees or Credit Derivatives (1)(2),,
In millions of dollars,September 30 2024,
Exposure Type:,,
Debt Securities,275,
Loans,20802,
Unused Commitments and Guarantees,36429,
Other (3),782,
Total Exposures,58288,
