Table 6: Wholesale Credit Risk Exposures by Probability of Default (1),,,,,,,,
In millions of dollars except percentages,September 30 2024,,,,,,,
PD Range Bands,Balance Sheet Amount,Undrawn Exposures (2),Total EAD (3),RWA,PD (4),LGD (4),Risk Weight (4),
0.00% to < 0.15%,735883,163313,818250,62077,0.02%,35.60%,7.59%,
0.15% to < 0.50%,93385,102074,144285,49776,0.28%,35.27%,34.50%,
0.50% to < 1.35%,113066,69710,147495,80102,0.80%,34.18%,54.31%,
1.35% to < 10.00%,78321,47470,105849,93194,3.33%,34.77%,88.04%,
10.00% to < 100%,26974,11120,33341,53977,27.23%,34.75%,161.90%,
100% (Default) (5),1478,1125,2392,2347,100.00%,37.28%,98.09%,
Total,1049107,394812,1251612,341473,1.34%,35.30%,27.28%,
