Table 11: Credit Losses for Wholesale Exposures and Each Retail Exposure Subcategory (1),,
In millions of dollars,Three Months Ended September 30 2024,
Credit Losses,,
Wholesale Exposures,113,
Retail Exposures:,,
Residential Mortgage Exposures,7,
Qualifying Revolving Exposures,2161,
Other Retail Exposures,328,
Total Retail Exposures,2496,
Total Credit Losses,2609,
Credit Recoveries,,
Wholesale Exposures,39,
Retail Exposures:,,
Residential Mortgage Exposures,8,
Qualifying Revolving Exposures,335,
Other Retail Exposures,56,
Total Retail Exposures,398,
Total Credit Recoveries,437,
Net Credit Losses,2172,
