Table 12: Counterparty Credit Risk Exposures by Product,,,
September 30 2024,,,
,Total Counterparty Credit Risk,,
In millions of dollars,EAD,RWA (1),
OTC Derivatives,161680,95074,
Repo-Style Transactions and Eligible Margin Loans,71659,24188,
Total Exposure,233338,119262,
