Table 18: Securitization and Re-securitization Exposures by Risk Weight Band (1),,,,,,,,,,
September 30 2024,,,,,,,,,,
,SFA Approach,,SSFA Approach,,1250% Approach,,Total,,
In millions of dollars,Exposure,RWA,Exposure,RWA,Exposure,RWA,Exposure,RWA,,
Securitization Exposures,,,,,,,,,,
Risk Weight Band,,,,,,,,,,
0% <= 20%,56730,10210,32058,6454,,,,88788,16664,
> 20% <= 50%,48091,11133,11022,3932,,,,59113,15064,
> 50% <= 100%,5548,3898,2248,1769,,,,7796,5667,
> 100% <= 200%,1962,2358,1761,2633,,,,3723,4990,
> 200% <= 650%,92,226,198,654,,,,290,881,
> 650% < 1250%,4,30,4,38,,,,8,68,
1250%,7,90,3,35,411,5139,421,5264,,
Total Securitization Exposures,112434,27945,47294,15515,411,5139,160139,48599,,
Re-securitization Exposures,,,,,,,,,,
0% <= 20%,0,0,0,0,0,0,0,0,,
> 20% <= 50%,0,0,298,74,0,0,298,74,,
> 50% <= 100%,0,0,0,0,0,0,0,0,,
> 100% <= 200%,0,0,0,0,0,0,0,0,,
> 200% <= 650%,0,0,0,0,0,0,0,0,,
> 650% < 1250%,0,0,1,12,0,0,1,12,,
1250%,0,0,0,0,32,406,32,406,,
Total Re-securitization Exposures,0,0,299,85,32,406,332,491,,
Total,112434,27945,47593,15600,444,5545,160470,49090,,
