Table 22: Regulatory SVaR Risk-Weighted Assets,,,
In millions of dollars,As of September 30 2024,,
Regulatory SVaR (1),Regulatory SVaR-Based Capital (2),Regulatory SVaR RWA (3),
272,816,18799,
