Table 23.1: IRC by Material Portfolios,,,,,
In millions of dollars,As of September 30 2024,Three Months Ended September 30 2024,,,
Material Portfolios,,High,Low,Mean,
Markets,564,801,301,609,
Other,2,4,0,1,
Diversification Benefit (1),-1,NM,NM,-1,
Total IRC,565,801,301,609,
