Table 5.1: Credit Risk Exposures by Remaining Contractual Maturity,,,
September 30 2024,,,
In millions of dollars,1 year or less,Over 1 year,Total
On-Balance Sheet Exposures,,,
Cash and Due From Banks,24849,417,25266
Deposits With Banks,277846,-18,277828
Federal Funds Sold and Securities Borrowed or Purchased Under Agreement to Resell,251696,34232,285928
Brokerage Receivables,54425,9228,63653
Debt Securities,131281,351436,482718
Loans Held-for-Investment,493101,195821,688922
Off-Balance Sheet Exposures,,,
Guarantees (3),130159,67200,197359
Credit Commitments & Lines of Credit,,,
Commercial and Similar Letters of Credit,3796,332,4128
One-to Four-Family Residential Mortgages,1088,4,1091
Revolving Open-End Loans Secured by One-to Four Family Residential Properties,5216,87,5303
Commercial Real Estate Construction and Land Development,1889,11198,13087
Credit Card Lines,682307,75,682382
Commercial and Other Consumer Loan Commitments,74865,262880,337744
