Table 21.2: 10-Day Regulatory VaR by Material Portfolios,,,,,
In millions of dollars,As of September 30 2024,Three Months Ended September 30 2024,,,
Material Portfolios,,High,Low,Mean (1),
Markets,183,226,106,178,
Other,25,72,7,17,
Diversification Benefit (2),-28,NM,NM,-17,
Total Regulatory VaR,180,226,104,178,
