Table 7: Counterparty Credit Risk Exposures by Probability of Default (1),,,,,,
In millions of dollars except percentages,September 30 2024,,,,,
PD Range Bands,Total EAD (2),RWA,PD (3),LGD (3),Risk Weight (3),
0.00% to < 0.15%,129148,21697,0.05%,45.06%,16.80%,
0.15% to < 0.50%,38719,19708,0.30%,41.28%,50.90%,
0.50% to < 1.35%,33275,28241,0.83%,45.93%,84.87%,
1.35% to < 10.00%,24453,34603,4.19%,40.51%,141.51%,
10.00% to < 100%,7112,14382,14.97%,43.40%,202.23%,
100% (Default),631,631,100.00%,40.00%,100.00%,
Total,233338,119262,1.36%,44.01%,51.11%,
