Table 21.1: 10-Day Regulatory VaR by Risk Factors,,,,,
In millions of dollars,As of September 30 2024,Three Months Ended September 30 2024,,,
Risk Factors,,High,Low,Mean (1),
Interest Rate,194,230,169,202,
Credit Spread,221,221,177,193,
Equity Price,70,93,16,65,
Foreign Exchange,84,126,30,71,
Commodity Price,63,97,48,74,
Diversification Benefit (2),-452,NM,NM,-427,
Total Regulatory VaR,180,226,104,178,
