Table 22.1: 10-Day Regulatory SVaR by Material Portfolios,,,,,
In millions of dollars,As of September 30 2024,Three Months Ended September 30 2024,,,
Material Portfolios,,High,Low,Mean (1),
Markets,385,410,167,273,
Other,48,147,11,23,
Diversification Benefit (2),-56,NM,NM,-24,
Total Regulatory SVaR,377,407,166,272,
