Table 1: Advanced Approaches Risk-Weighted Assets,,,,
In millions of dollars,September 30 2024,,June 30 2024,
Credit Risk-Weighted Assets:,,,,
Wholesale Exposures,460735,,452404,
Retail Exposures:,,,,
Residential Mortgage Exposures,21016,,21661,
Qualifying Revolving Exposures,126707,,124922,
Other Retail Exposures,20547,,20349,
Total Retail Exposures,168270,,166932,
Securitization Exposures,49090,,49920,
Central Counterparty Exposures,6813,,9173,
Equity Exposures:,,,,
Equity Exposures Subject to the Simple Risk Weight Approach,20996,,22221,
Equity Exposures to Investment Funds,4800,,4020,
Total Equity Exposures,25796,,26241,
Other Exposures (1),102546,,99613,
Total Credit Risk-Weighted Assets Subject to Supervisory 6% Multiplier (2),813251,,804284,
Supervisory 6% Multiplier,48795,,48257,
Credit Valuation Adjustments (CVA),56548,,54725,
Less: Excess Eligible Credit Reserves Not Included in Tier 2 capital,0,,0,
Total Credit Risk-Weighted Assets,918595,,907266,
Market Risk-Weighted Assets:,,,,
Regulatory Value-at-Risk (VaR) (3),8694,,10506,
Regulatory Stressed Value-at-Risk (SVaR) (4),18799,,16505,
Incremental Risk Charge (IRC) (5),7627,,3275,
Comprehensive Risk Measure (CRM),1402,,1233,
Standard Specific Risk Charge (SSRC),18647,,17306,
Securitization Charges (6),4242,,4677,
Other (7),7858,,694,
Total Market Risk-Weighted Assets,67269,,54196,
Operational Risk-Weighted Assets,314288,,307416,
Total Risk-Weighted Assets,1300152,,1268878,
