"Table 7: Counterparty Credit Risk Exposures by Probability of Default (1)",,,,,,
"In millions of dollars, except percentages","June 30, 2024",,,,,
PD Range Bands,Total EAD (2),RWA,PD (3),LGD (3),Risk Weight (3),
"0.00% to < 0.15%",126517,22123,0.05%,45.49%,17.49%,
"0.15% to < 0.50%",42055,20113,0.30%,41.42%,47.83%,
"0.50% to < 1.35%",36683,30878,0.84%,44.61%,84.17%,
"1.35% to < 10.00%",21485,32369,4.32%,40.46%,150.66%,
"10.00% to < 100%",6193,15585,17.30%,44.58%,251.64%,
"100% (Default)",639,639,100.00%,39.96%,100.00%,
Total,233573,121707,1.34%,44.12%,52.11%,
,,,,,,
Notes:,,,,,,
"(1) Consists of repo-style transactions, eligible margin loans and OTC derivative exposures.",,,,,,
"(2) Represents total EAD for on- and off-balance sheet exposures.",,,,,,
"(3) Exposure-weighted average by PD range bands and in total.",,,,,,
