"Table 18: Securitization and Re-securitization Exposures by Risk Weight Band (1)",,,,,,,,,
"June 30, 2024",,,,,,,,,
,SFA Approach,,SSFA Approach,,1250% Approach,,Total,,
In millions of dollars,Exposure,RWA,Exposure,RWA,Exposure,RWA,Exposure,RWA
Securitization Exposures,,,,,,,,,
"  0% <= 20%",47226,8255,31450,6290,0,,78675,14545
"  > 20% <= 50%",54700,12396,11562,4063,,,66262,16459
"  > 50% <= 100%",5217,3767,3371,2533,,,8588,6300
"  > 100% <= 200%",1886,2309,1588,2299,,,3474,4608
"  > 200% <= 650%",23,55,476,1898,,,499,1953
"  > 650% < 1250%",4,32,12,129,,,16,160
"  1250%",14,174,8,98,416,5199,438,5471
Total Securitization Exposures,109069,26988,48466,17309,416,5199,157952,49496
Re-securitization Exposures,,,,,,,,,
"  0% <= 20%",0,0,0,0,0,0,0,0
"  > 20% <= 50%",0,0,0,0,0,0,0,0
"  > 50% <= 100%",0,0,0,0,0,0,0,0
"  > 100% <= 200%",0,0,0,0,0,0,0,0
"  > 200% <= 650%",0,0,0,0,0,0,0,0
"  > 650% < 1250%",0,0,1,12,0,0,1,12
"  1250%",0,0,0,0,33,412,33,412
"Total Re-securitization Exposures (2)",0,0,1,12,33,412,34,424
Total,109069,26988,48467,17321,449,5612,157986,49920
,,,,,,,,,
Notes:,,,,,,,,,
"(1) Securitization exposures that have been deducted from Tier 1 Capital are not included within RWA.",,,,,,,,,
"(2) During the three months ended June 30, 2024, there were no re-securitization exposures to which credit risk mitigation had been applied.",,,,,,,,,
