"Table 24.2: CRM Market Risk Factors",,
"June 30, 2024",,
"In millions of dollars","As of June 30, 2024",
Default Risk,64,
Recovery Rate Risk,46,
"Credit Spread Risk (1)",-11,
Cross Gamma Risk,0,
Correlation Risk,0,
"Total CRM Charge (2)",99,
,,
Notes:,,
"(1) Credit spread risk includes credit migration risk.",,
"(2) Total CRM Charge is inclusive of diversification benefits across risk factors and are additive.",,
