"Table 6: Wholesale Credit Risk Exposures by Probability of Default (1)",,,,,,,,
"In millions of dollars, except percentages","June 30, 2024",,,,,,,
PD Range Bands,Balance Sheet Amount,Undrawn Exposures (2),Total EAD (3),RWA,PD (4),LGD (4),Risk Weight (4),
"0.00% to < 0.15%",685392,155466,764729,62046,0.02%,35.47%,8.11%,
"0.15% to < 0.50%",99300,95442,145238,50624,0.27%,35.13%,34.86%,
"0.50% to < 1.35%",110717,71798,147094,79650,0.80%,34.32%,54.15%,
"1.35% to < 10.00%",73176,46007,100035,86094,3.32%,34.27%,86.06%,
"10.00% to < 100%",27064,9977,32620,50152,26.45%,35.70%,153.75%,
"100% (Default) (5)",1614,820,2277,2130,100.00%,33.48%,93.54%,
Total,997263,379510,1191993,330697,1.34%,35.19%,27.74%,
,,,,,,,,
Notes:,,,,,,,,
"(1) Excludes repo-style transactions, eligible margin loans and OTC derivative exposures.",,,,,,,,
"(2) Amounts represent the face value of undrawn commitments and letters of credit.",,,,,,,,
"(3) Represents total EAD for on-balance sheet and undrawn exposures.",,,,,,,,
"(4) Exposure-weighted average by PD range bands and in total.",,,,,,,,
"(5) The portion of EAD for defaulted wholesale exposures covered by an eligible guarantee from the U.S. government or its agencies, is assigned a 20% risk weight.",,,,,,,,
