"Table 21.1: 10-Day Regulatory VaR by Risk Factors",,,,
"June 30, 2024",,,,
,,,"Three Months Ended",
"In millions of dollars","As of June 30, 2024",High,Low,"Mean (1)"
Risk Factors,,,,,
Interest Rate,230,244,131,176
Credit Spread,198,216,171,196
Equity Price,62,162,-8,23
Foreign Exchange,137,170,74,122
Commodity Price,91,102,60,77
"Diversification Benefit (2)",-492,NM,NM,-384
Total Regulatory VaR,226,315,150,210
,,,,,
Notes:,,,,,
"NM: Not meaningful",,,,,
"(1) Mean is based on a 60-day average used for Regulatory VaR-based RWA.",,,,,
"(2) Diversification benefit is the result of correlation between risk factors and, due to this benefit, the total Regulatory VaR on a given day will be lower than the sum of the Regulatory VaRs relating to each individual risk factor. No diversification benefit can be inferred for the high and low Regulatory VaRs related to each of the respective risk factors as they may come from different close of business dates.",,,,,
