Table 2: Risk-Based Capital Ratios,,,,,,
"In millions of dollars, except ratios",Required Capital Ratios - Advanced Approaches,Required Capital Ratios - Standardized Approach (1),June 30 2024 - Advanced Approaches,June 30 2024 - Standardized Approach,,
CET1 Capital (3),,,154357,154357,,
Tier 1 Capital (3),,,173783,173783,,
Total Capital (3),,,195494,204204,,
Risk Weighted Assets (3),,,1268878,1135750,,
CET1 Capital Ratio (4),10.5%,12.3%,12.16%,13.59%,,
Tier 1 Capital Ratio (4),12.0%,13.8%,13.70%,15.30%,,
Total Capital Ratio (4),14.0%,15.8%,15.41%,17.98%,,
Quarterly Adjusted Average Total Assets (3)(5),,,2419126,,,
Tier 1 Leverage Ratio,,4.0%,,7.18%,,
Total Leverage Exposure (3)(6),,,2949534,,,
Supplementary Leverage Ratio,5.0%,,5.89%,,,
,,,,,,
"CECL Full Impact Hypothetical Scenario, June 30, 2024",,,,,,
,,,Advanced Approaches,Standardized Approach,,
CET1 Capital Ratio,,,12.09%,13.51%,,
Tier 1 Capital Ratio,,,13.62%,15.22%,,
Total Capital Ratio,,,15.35%,17.90%,,
Tier 1 Leverage Ratio,,,,7.14%,,
Supplementary Leverage Ratio,,,5.86%,,,
,,,,,,
Notes:,,,,,,
"(1) Effective October 1, 2024, Citi's required regulatory CET1 Capital ratio is expected to decrease from 12.3% to 12.1% under the Standardized Approach, incorporating the indicative Stress Capital Buffer (SCB) of 4.1% and its Global Systemically Important Bank (GSIB) surcharge of 3.5%.",,,,,,
"(2) Citi's required risk-based capital ratios included the 4.3% SCB and 3.5% GSIB surcharge under the Standardized Approach, and the 2.5% Capital Conservation Buffer and 3.5% GSIB surcharge under the Advanced Approaches (all of which must be composed of CET1 Capital). These requirements are applicable through September 30, 2024.",,,,,,
"(3) Citi's regulatory capital ratios and components reflect certain deferrals based on the modified regulatory capital transition provision related to the CECL standard.",,,,,,
"(4) Citi's binding CET1 Capital and Tier 1 Capital ratios were derived under the Basel III Standardized Approach, whereas Citi's binding Total Capital ratio was derived under the Basel III Advanced Approaches framework.",,,,,,
"(5) Leverage ratio denominator. Represents quarterly average total assets less amounts deducted from Tier 1 Capital.",,,,,,
"(6) Supplementary Leverage ratio denominator.",,,,,,
