"Table 9: Qualifying Revolving Exposures by Probability of Default",,,,,,,,
"In millions of dollars, except percentages","June 30, 2024",,,,,,,
PD Range Bands,Balance Sheet Amount,Undrawn Exposures (1),Total EAD (2),RWA,PD (3),LGD (3),Risk Weight (3)(5),
"0.00% to < 0.50%",55819,544427,176970,13576,0.16%,89.78%,7.67%,
"0.50% to < 2.00%",55520,73447,80265,28967,1.08%,90.37%,36.09%,
"2.00% to < 3.50%",25227,10792,32596,23085,2.62%,90.82%,70.82%,
"3.50% to < 5.00%",13243,2320,15796,15249,4.12%,90.46%,96.54%,
"5.00% to < 8.00%",9090,1931,11470,14603,6.18%,91.52%,127.32%,
"8.00% to < 100%",14093,1112,15917,29366,34.71%,90.73%,184.49%,
"100% (Default) (4)",21,53,75,75,100.00%,83.75%,100.00%,
Total,173013,634081,333089,124922,2.69%,90.16%,37.50%,
,,,,,,,,
Notes:,,,,,,,,
"(1) Amounts represent the face value of undrawn commitments.",,,,,,,,
"(2) Represents total EAD for on-balance sheet and undrawn exposures.",,,,,,,,
"(3) Exposure-weighted average by PD range bands and in total.",,,,,,,,
"(4) Unsecured qualifying revolving loans and credit cards are generally charged off at 180 days contractually past due.",,,,,,,,
"(5) Risk weights incorporate adjustments, after RWA calculation, not reflected in underlying parameters.",,,,,,,,
