Table 1: Advanced Approaches Risk-Weighted Assets,,,,
In millions of dollars,,June 30 2024,,March 31 2024
Credit Risk-Weighted Assets:,,,,
Wholesale Exposures,,452404,,446661
Retail Exposures:,,,,
"  Residential Mortgage Exposures",,21661,,21984
"  Qualifying Revolving Exposures",,124922,,124806
"  Other Retail Exposures",,20349,,20099
Total Retail Exposures,,166932,,166889
Securitization Exposures,,49920,,49477
Central Counterparty Exposures,,9173,,9873
Equity Exposures:,,,,
"  Equity Exposures Subject to the Simple Risk Weight Approach",,22221,,30965
"  Equity Exposures to Investment Funds",,4020,,4052
Total Equity Exposures,,26241,,35017
Other Exposures (1),,99613,,99852
"Total Credit Risk-Weighted Assets Subject to Supervisory 6% Multiplier (2)",,804284,,807769
Supervisory 6% Multiplier,,48257,,48466
Credit Valuation Adjustments (CVA),,54725,,53223
"Less: Excess Eligible Credit Reserves Not Included in Tier 2 capital",,0,,0
Total Credit Risk-Weighted Assets,,907266,,909458
Market Risk-Weighted Assets:,,,,
"  Regulatory Value-at-Risk (VaR) (3)",,10506,,12724
"  Regulatory Stressed Value-at-Risk (SVaR) (4)",,16505,,21079
"  Incremental Risk Charge (IRC) (5)",,3275,,3783
"  Comprehensive Risk Measure (CRM)",,1233,,1276
"  Standard Specific Risk Charge (SSRC)",,17306,,16968
"  Securitization Charges (6)",,4677,,5030
"  Other (7)",,694,,410
Total Market Risk-Weighted Assets,,54196,,61270
Operational Risk-Weighted Assets,,307416,,310357
Total Risk-Weighted Assets,,1268878,,1281085
,,,,
Notes:,,,,
"(1) Primarily consists of net deferred tax assets, net premises and equipment, receivables, intangible assets and other assets not subject to the application of internal models in deriving credit risk-weighted assets under the U.S. Basel III rules.",,,,
"(2) Under the U.S. Basel III rules, a supervisory 6% multiplier is applied to all components of credit risk-weighted assets other than derivatives CVA.",,,,
"(3) Includes $2,642 million and $1,989 million add-on for Risk Not In the Model (RNIM) as of June 30, 2024 and March 31, 2024, respectively.",,,,
"(4) Includes $5,020 million and $10,097 million add-on for RNIM as of June 30, 2024 and March 31, 2024, respectively.",,,,
"(5) Includes $128 million and $36 million add-on for RNIM as of June 30, 2024 and March 31, 2024, respectively.",,,,
"(6) Includes specific risk charges attributable to securitization positions, as well as non-modeled correlation trading securitization positions.",,,,
"(7) Includes $694 million and $410 million of risk weighted assets arising from de minimis exposures for June 30, 2024 and March 31, 2024 respectively.",,,,
