"Table 17: Impairment by Underlying Exposure Type",,,,
,,"As of June 30, 2024","For the Three Months Ended June 30, 2024",
In millions of dollars,,Past Due Securitized Assets (1),Impairment Losses Recognized by Citi (2),
Commercial Real Estate Loans,,0,0,
Corporate Loans,,80,3,
Credit Card Receivables,,0,0,
Residential Mortgages,,807,0,
Other Assets,,11,0,
Total,,898,3,
,,,,
Notes:,,,,
"(1) Represents the outstanding principal balance of securitized assets that are 90 days or more past due.",,,,
"(2) Represents impairment losses recognized by Citi related to retained securitization exposures that are not subject to the market risk capital rules, and excludes changes in fair value recognized in earnings for retained securitization exposures that are classified as trading securities for U.S. GAAP purposes.",,,,
