"Table 12: Counterparty Credit Risk Exposures by Product",,,,
"June 30, 2024",,,,
,,Total Counterparty Credit Risk,,
In millions of dollars,,EAD,RWA (1),
OTC Derivatives,,163669,95575,
Repo-Style Transactions and Eligible Margin Loans,,69904,26132,
Total Exposure,,233573,121707,
,,,,
Notes:,,,,
"(1) Risk-weighted assets for counterparty credit risk are included within wholesale exposures in Table 1 above.",,,,
