"Table 19: Securitization Exposures by Collateral Type (1)",,,,,,
"June 30, 2024",,,,,,
,,Exposure,,,
In millions of dollars,On-Balance Sheet,Off-Balance Sheet,Total,Total RWA,
Auto Loans,10784,7001,17786,4283,
Commercial Real Estate Loans,11639,2348,13987,4485,
Corporate Loans,45159,18752,63911,14075,
Credit Card Receivables,8226,5216,13442,4744,
Residential Mortgages,6353,595,6948,2178,
Student Loans,595,290,885,177,
Other,29348,11679,41027,19979,
Total,112106,45880,157986,49920,
,,,,,,
Notes:,,,,,,
"(1) Securitization exposures that have been deducted from Tier 1 Capital are not included within RWA.",,,,,,
