"Table 5.2: Average Balances of Principal Off-Balance Sheet Credit Risk Exposures (1)",,
In millions of dollars,"Three Months Ended June 30, 2024",
Guarantees (2),,
"  Financial Standby Letters of Credit",79160,
"  Performance Guarantees",9969,
"  Securities Lending Indemnifications",105239,
Credit Commitments and Lines of Credit,,
"  Commercial and Similar Letters of Credit",4973,
"  One- to Four-Family Residential Mortgages",1394,
"  Revolving Open-End Loans Secured by One- to Four-Family Residential Properties",5369,
"  Commercial Real Estate, Construction and Land Development",13645,
"  Credit Card Lines",679570,
"  Commercial and Other Consumer Loan Commitments",317501,
,,
Notes:,,
"(1) Average balances are calculated using the month-end balances for each of the three months from March 31, 2024 to June 30, 2024.",,
"(2) Represents the maximum potential amount of future payments.",,
