"Table 11: Credit Losses for Wholesale Exposures and Each Retail Exposure Subcategory (1)",,
In millions of dollars,"Three Months Ended June 30, 2024",
Credit Losses,,
"  Wholesale Exposures",129,
"  Retail Exposures:",,
"    Residential Mortgage Exposures",11,
"    Qualifying Revolving Exposures",2248,
"    Other Retail Exposures",327,
"  Total Retail Exposures",2586,
Total Credit Losses,2715,
Credit Recoveries,,
"  Wholesale Exposures",22,
"  Retail Exposures:",,
"    Residential Mortgage Exposures",9,
"    Qualifying Revolving Exposures",336,
"    Other Retail Exposures",65,
"  Total Retail Exposures",410,
Total Credit Recoveries,432,
Net Credit Losses,2283,
,,
Notes:,,
"(1) Credit losses are presented on a U.S. GAAP basis.",,
