"Table 15: Outstanding Securitization Exposures by Underlying Exposure Type",,,,,,
"As of June 30, 2024",,,,,,
,Originator,,Sponsor,,
In millions of dollars,Traditional Securitizations,Synthetic Securitizations,Traditional Securitizations,Assets Pending Securitization,
Commercial Real Estate Loans,28329,0,0,148,
Corporate Loans,0,28771,0,0,
Credit Card Receivables,0,,0,0,
Residential Mortgages,18843,,,,
Other Assets,1920,,,,
Total,49092,28771,0,148,
