"Charge-offs by Counterparty Type",,,,,,,,,,
"Three Months Ended June 30, 2024",,,,,,,,,,
,Wholesale Exposures,,,,Retail Exposures,,,,
In millions of dollars,Financial Institutions,Commercial & Industrial,Other,Subtotal,Residential Mortgages,Credit Cards,Other,Subtotal,Total
Charge-offs,1,119,9,129,4,2324,258,2586,2715
