"Table 16: Securitization Activity by Underlying Exposure Type",,,,,,,,,
"For the Six Months Ended June 30, 2024",,,,,,,,,
,Originator,,,,Sponsor,,,
,Traditional Securitizations,,Synthetic Securitizations,,Traditional Securitizations,,,
In millions of dollars,Exposure Retained,Exposure Not Retained,Exposure Retained,Exposure Not Retained,Exposure Retained,Exposure Not Retained,Recognized Gain (Loss) on Sale,
Commercial Real Estate Loans,10,2384,0,0,0,2292,21,
Corporate Loans,0,0,0,0,0,0,0,
Credit Card Receivables,0,0,0,0,0,0,0,
Residential Mortgages,112,2284,0,0,0,0,15,
Other Assets,0,0,0,0,,,0,
Total,122,4668,0,0,0,2292,35,
