Appendix B: Disclosure Index,Pillar 3 Disclosures,Second Quarter 2024 Form 10-Q,2023 Form 10-K
OVERVIEW,,,
"  Organization",2,,4
"  Pillar 3 Disclosure Requirements",2,34-45,31-46
SCOPE OF APPLICATION,,,
"  Basis of Consolidation",3,"110-111, 172-179",
"  Funds and Capital Transfer Restrictions",3,,238
"  Regulated Subsidiaries' Capital",3,,
CAPITAL STRUCTURE,,,
"  Regulatory Capital Instruments",4,"222,165",242-243
"  Regulatory Capital Tiers",4,34-45,
CAPITAL ADEQUACY,,,
"  Capital Management",5,,31
"  Stress Testing Component of Capital Planning",5,97-99,"33-35, 48-61"
"  Economic Capital",5,,
"  Advanced Approaches Risk-Weighted Assets",6-7,,
"  Risk-Based Capital Ratios",7-8,34-45,32
CAPITAL CONSERVATION AND COUNTERCYCLICAL CAPITAL BUFFERS,9,,31-46
RISK MANAGEMENT,,,
"  Overview",10-11,,68-71
"  Scope and Nature of Credit Risk Reporting and Measurement Systems",11,,
CREDIT RISK: GENERAL DISCLOSURES,,,
"  Credit Risk Management",12,,"72, 210-228"
"  Wholesale Credit Risk",12,,73-78
"  Consumer Credit Risk",12,,79-82
"  Past Due and Impaired Exposures",12,,"130-135, 152-163, 201-210, 210-228"
"  Allowance for Credit Losses",12,"91-95, 110-111","130-135, 152-163"
"  Credit Risk Exposures",13-19,"61, 48-66, 125-127, 129-136, 137-157, 158-162, 180-190, 215-217","68-93, 258-270, 295-301"
CREDIT RISK: PORTFOLIO DISCLOSURES - INTERNAL RATINGS-BASED APPROACH,,,
"  Overview",20,,5
"  Wholesale Credit Risk Management",20-21,,
"  Wholesale Credit Risk Exposures",20,,
"  Use of Risk Parameter Estimates Other Than for Regulatory Capital Purposes",20-21,,
"  Use of Credit Risk Mitigation",21,,
"  Recognizing Credit Risk Mitigation",21,,
"  Retail Credit Risk Management",21,,
"  Policies and Processes for Retail Credit Risk Management",21,,
"  Collateral Valuation and Management",21,,
"  Types of Collateral",21,,
"  Calculation of Risk-Weighted Assets Using Internal Parameters",21,,
"  Wholesale Credit Risk",22,,
"  Retail Credit Risk",22,,
"  Credit Rating and Basel Parameter Governance",22,,
"  Model Risk Management Policy",22-23,,
"  Independent Validation of Models",23,,
"  Basel Parameters by Exposure Type",23-24,,
"  Credit Losses",25,48-66,
COUNTERPARTY CREDIT RISK: OTC DERIVATIVE CONTRACTS REPO-STYLE TRANSACTIONS AND ELIGIBLE MARGIN LOANS,,,
"  Counterparty Credit Risk Exposures",26,,
"  Methodology Used to Assign Economic Capital",26,,
"  Methodology Used to Assign Credit Limits",26,,
"  Counterparty Credit Risk Capital Calculations",26,,
"  Derivative Master Netting Agreements",26,,258-270
"  Policies for Securing Valuing and Managing Collateral and Establishing Credit Reserves",27,,
"  Primary Types of Collateral",27,,
"  Policies With Respect to Wrong-Way Risk Exposures",27,,
"  Impact of Citi Credit Rating Downgrade on Collateral Pledged",27-28,"73, 180-190",
"  OTC Derivative Counterparty Credit Risk Disclosures",28,180-190,
"  Credit Derivative Notional Amounts",28-29,180-190,
CREDIT RISK MITIGATION,,,
"  Overview",30,,
"  Credit Risk Mitigation by Exposure Type",30,,
"  Wholesale Banking Book Collateral: Valuation and Management",30,,
"  OTC Derivative Contracts Repo-Style Transactions and Eligible Margin Loans",30,,
"  Retail Exposures",30,,
"  Wholesale Banking Book Exposures",30,,
"  Collateral Concentrations",30,,
"  Guarantors and Credit Derivative Counterparties and their Creditworthiness",30,,
"  Recognizing Credit Risk Mitigation",30,,
SECURITIZATIONS,,,
"  Overview",32,,
"  Objectives",32,,
"  Risks",32-33,,
"  Risk-Based Capital Approaches",33,,
"  Securitizations and VIEs",34-36,"172-179, 215-217, 219-220","152-163, 272-290"
"  Securitization Exposures Deducted from Regulatory Capital",37,,
"  Re-securitization Exposures Covered by Guarantees",37,,
EQUITY EXPOSURES NOT SUBJECT TO THE MARKET RISK CAPITAL RULES,,,
"  Overview",38,"110-111, 129-136",
"  Risk-Weighting Approaches",38,,
"  Realized Gains (Losses)",39,,
"  Latent Revaluation Gains (Losses)",39,,
MARKET RISK,,,
"  Overview",40,,103-118
"  Basel III Covered Positions",40,,
"  Valuation and Accounting Policies and Methodologies",40-41,,
"  Determination of Fair Value",40-41,,
"  Market Valuation Adjustments",41,,
"  Market Risk-Weighted Assets",41,,
"  Regulatory Value-at-Risk (VaR)",41-42,,114
"  Regulatory VaR Backtesting",43-44,,
"  Regulatory Stressed Value-at-Risk (SVaR)",45,,
"  Incremental Risk Charge (IRC)",45,,
"  Comprehensive Risk Measure (CRM)",46,,
"  Standard Specific Risk Charge (SSRC)",46,,
"  Securitization and Re-securitization Positions",47,,
"  De Minimis Exposures Charge",47,,
"  Market Risk Management",47-48,,
"  Overview",47,,103-118
"  Securitization and Re-securitization Positions",47-48,,
"  Independent Validation of Models",48,,
"  Stress Testing",48,,
OPERATIONAL RISK,,,
"  Overview",49,,118-121
"  Operational Risk Measurement",49,,118-121
"  Independent Review of Models",49,,118-121
INTEREST RATE RISK: NON-TRADING ACTIVITIES,50,74-85,
SUPPLEMENTARY LEVERAGE RATIO,51,34-45,
