Line Item No.,Line Item Name,MDRM (CCFL),Detailed Description,Allowed Values,Format / Line Item Length
70,Most Recent Property Valuation Date,M211,Report the date on which the most recent refreshed property value was obtained.,YYYYMMDD,YYYYMMDD
71,Refreshed CLTV After Modification,M212,"Refreshed CLTV After Modification - Report the calculated combined loan-to-value ratio after the modification. Note: The Refreshed CLTV After Modification (Line item 71) on the FR Y-14M First Lien schedule is only applicable for loans that have been modified. Only provide this line item for loans that have been modified. Include all outstanding liens in the calculation of refreshed CLTV. If the property only has one lien outstanding at the time of modification, then this line item would be equivalent to refreshed LTV. Provide the CLTV that was used to evaluate and approve the modification. The reported value should reflect the CLTV used during the modification process or soon afterward. This value should not be updated with subsequent CLTV values.","Provide as a decimal. e.g.: 0.85 for 85%","Numeric, up to 2 decimals"
72,Refreshed DTI Ratio (Back-end),M213,"Refreshed DTI Ratio (Back-end) - Report the refreshed Back-end DTI Ratio. Refreshed values are expected to be populated for modified loans only and the information to be collected at the time modification terms are being set. These are optional for other loans. Back-end DTI ratios give the percentage of monthly income necessary to cover all of the borrower's debt obligations.",Whole Number,Whole Number
73,Refreshed DTI Ratio (Front-end),M214,"Refreshed DTI Ratio (Front-end) - Report the refreshed Front-end DTI (PITI Housing Ratio). Refreshed values are expected to be populated for modified loans only and the information to be collected at the time modification terms are being set. These are optional for other loans. Front-end DTI ratios give the percentage of a borrower's monthly income that would go toward housing expenses (mortgage payment, real estate taxes, homeowner's insurance, association dues, etc.)",Whole Number,Whole Number
74,Modification Type,M215,"Report the modification type. This line item should be populated for any loan that is currently operating under modified terms and identifies the specific terms that were altered through loss mitigation efforts. Modification Type should be filled out for all months the loan is currently operating under modified terms (including the month where Workout Type Completed =1). If a loan is not operating under modified terms, this field should be populated as '0 = Loan has not been modified'. Report the code that reflects the current modification arrangement using all information available. If no information is available, code as 99=Other. This field will be filled out if Line 77 - Workout Type Completed = 1 (Modification). Code 21 Principal deferral - code this line item if the modification results in deferred principal. This should also include principal write-downs. Code 22 Rate Reduction/ Rate Frozen - code this line item if the modification results in an interest rate reduction or if the interest rate was frozen at a lower rate than if allowed to adjust (for ARMs). Code 23 Term extension - code this line item if the modification results in a term extension. Code 24 Principal forgiveness - code this line item if the modification results in principal forgiveness. Code 25 Recapitalization - code this line item if the modification results in recapitalization. Recapitalization refers to instances where accrued and/or deferred principal, interest, servicing advances, expenses, fees, etc. are capitalized into the unpaid principal balance of the modified loan. Codes 27-34 are to be used if a combination of modifications are applied to a loan.","0=Loan has not been modified; 6=ASF Streamline (Retired); 8=FHFA Streamline (Retired); 9=FDIC Streamline (Retired); 10=Proprietary Systematic Program (Retired); 11=Proprietary Other (Retired); 12=Home Affordable Modification (Retired); 21=Principal deferral; 22=Rate Reduction/ Rate Frozen; 23=Term extension; 24=Principal forgiveness; 25=Recapitalization; 27=Principal deferral+ Rate Reduction/ Rate Frozen; 28=Principal deferral+ Term extension; 29=Principal deferral+ Rate Reduction/ Rate Frozen + Term extension; 30=Rate Reduction/ Rate Frozen + Term extension; 31=Rate Reduction/ Rate Frozen + Principal forgiveness; 32=Rate Reduction/ Rate Frozen + Term extension + Principal forgiveness; 33=Term extension + Principal forgiveness; 34=Term extension + Recapitalization; 99=Other",Numeric
75,Last Modified Date,M216,Last Modified Date - Report the date on which the loan terms were most recently modified.,"YYYYMMDD. Do not populate for loans that have not been modified.",YYYYMMDD
76,Active Repayment Plan Flag (Retired March 2020),M217,Retired,,
77,Workout Type Completed,M218,"Report the workout type completed. This line item should be coded for any loan where a loss mitigation effort has been successfully completed in the current month. Successful completion is defined as the closing of loss mitigation activities where the borrower has no remaining delinquent obligations to the servicer. The line item should be coded in only the reporting month when the workout type was completed and not in subsequent months. For the cases where loss mitigation efforts are ongoing but not completely resolved, this line item should be left blank. Also, if a loan has never been in loss mitigation, the value should be left blank. In cases where loss mitigation efforts fail, report 77-Workout Type Completed =0 and 85-Loss Mitigation Status=3 (Broken). If in the proceeding month a new effort begins, code 143-Workout Type Started and 85-Loss Mitigation Status to the relevant allowable values. Code 0 - Enter in the case where no workout is completed or there is an unsuccessful resolution of a loss mitigation effort. Do not enter a code value of 0 if loss mitigation efforts are ongoing but not completely resolved. Code 1 Modification - Populate in the month that the modification is completed and the new loan terms are in effect. Do not include modifications that were completed following a trial or stipulated repayment period - these should receive a value of 8. Code 2 Repayment Plan - Populate in the month that the repayment plan was completed successfully and the borrower has been returned to a current and performing status. Codes 3 and 4 - Deeds In Lieu and Short Sales - Populate in the month the loan is liquidated through a deed in lieu, short sale (or payoff) negotiated settlement. Code 6, 11, 14 - FHA and Home Affordable Refinances - Populate these line items in the month that the loan was liquidated under an FHA or Home Affordable refinance program. This line item should be coded in the same month the loan has a Voluntary Payoff / Refinance. Code 8 - Stipulated Repayment / Stip to Mods - Code this line item in the month that a loan is modified after having completed a stipulated or trial payment period. This should include loans modified under the Home Affordable Modification program. Code 13 - Re-aged/Deferred/Extended - include loans where there has been an agreement with the borrower to defer principal and interest but with no other terms to enhance affordability. Code 15 - FNMA HomeSaver Forbearance, Payment Reduction Plan, or other GSE-sponsored forbearance program - Include loans that have made the initial payment in the FNMA HomeSaver Forbearance program or similar program. Code 16 Refinance - Code this line item in the month a refinance resulting from loss mitigation was completed. Code 17 - Code this line item in the month that a loan a partial claim or the origination of a junior lien resulting from loss mitigation was completed.","0=No workout completed or unsuccessful resolution of a loss mitigation effort; 1=Modification; 2=Repayment Plan; 3=Deed in Lieu; 4=Short Sale; 5=FHA Partial Claim (Retired); 6=FHA Secured (Retired); 7=VA Refund (Retired); 8=Stipulated Repayment / Stip-to-Mods (Retired); 9=Forbearance plan; 10=MI Claim Advance; 11=FHA Refinances - Other (Retired); 12=Other; 13=Re-aged/Deferred/Extended (Retired); 14=Home Affordable Refinance (Retired); 15=FNMA HomeSaver Forbearance, Payment Reduction Plan, or other GSE-sponsored forbearance program (Retired); 16=Refinance; 17=Partial Claim/Junior Lien",Numeric
78,Repayment Plan Performance Status (Retired March 2020),M219,Retired,,
79,Home Affordable Refinance Program Flag (Retired March 2020),M220,Retired,,
80,HAMP Loan Number (Retired March 2020),M221,Retired,,
81,Capitalization (Retired September 2022),M222,Retired,,
82,Delinquent Amount Capitalized,M223,"Delinquent Amount Capitalized - Report the total amount in dollars of the delinquent amount that was capitalized and added to the principal balance through loss mitigation.","Whole Number. e.g., 5123 for $5,122.81. Use banker's rounding.",Whole Number
83,Duration of Modification (Retired September 2022),M224,Retired,,
84,Step Modification Flag,M225,"Step Modification Flag - Report whether a rate modification has a 'stepped' or gradual return to non-modified rate. If the rate drop is gradual (stepped), even to a rate that is different from the contract rate, this field should be populated with 'Y'. If the rate drop is immediate, even to a rate that is different from the contract rate, this field should be populated with 'N'. This line item should be reported as 'N' if the loan immediately returns to the contract rate at expiration of the modification.",Y=Yes; N=No,Character(1)
85,Loss Mitigation Performance Status,M226,"Loss Mitigation Performance Status - Report whether a loan is being actively handled by the servicer's loss mitigation department. Refers to all loans where the servicer has initiated loss mitigation procedures whether or not a particular course of action or workout type has been executed. Active loss mitigation refers to instances where the loan is currently in loss mitigation, and the servicer is actively pursuing loss mitigation. Active and performing - Refers to any mortgage that is currently in loss mitigation and is performing to the terms of a selected plan. Active and Non-performing - Refers to instances where a servicer is actively pursuing loss mitigation with a borrower who is not currently making all payments on the mortgage. Include situations where loss mitigation efforts have been initiated but no plan has been executed as of month-end. Broken - Populated for situations where the borrower has defaulted on the terms of loss mitigation plan and the servicer has removed the loan from loss mitigation and is proceeding with the default process. Note: If loss mitigation efforts have been initiated but no plan has been executed as of the month-end, the Loss Mitigation Performance Status should be coded as 2: Active and Non-Performing. A loan that has failed to perform according to a loss mitigation plan should be reported with a value of '3' for Loss Mitigation Performance Status until the loan has been paid in full, re-modified or charged off. If a loan is not in loss mitigation, then it should be coded as 0: No loss mitigation action in place.","0=No loss mitigation action in place; 1=Active and Performing; 2=Active and Non-performing; 3=Broken",Character(1)
86,Principal Deferred (Retired March 2013),M227,Retired,,
87,Deferred Amount,M228,"Deferred Amount: Report the total amount in dollars of the amount that was deferred through loss mitigation. In cases where the deferral is monthly, they should be reported as aggregated. Deferrals are generally done at once. Report the aggregate of the amount deferred provided over the life of the loan assuming that the borrower performs as agreed.","Whole Number. e.g., 5123 for $5,122.81. Use banker's rounding.",Whole Number
88,Principal Write-down (Retired March 2013),M229,Retired,,
89,Principal Write-Down Amount,M230,"Principal Write-Down Amount - Report the principal write-down amount for the loans where the principal was forgiven through loss mitigation. Note: Report the aggregate amount of principal write-down provided over the life of the loan assuming that the borrower performs as agreed. Performance incentive payments offered to all borrowers should not be included as principal write-downs (i.e., the annual HAMP forgiveness payments should not be flagged as principal reductions).","Whole Number. e.g., 5123 for $5,122.81. Use banker's rounding.",Whole Number
90,Property Valuation Method at Modification (Retired March 2020),M231,Retired,,
