Line Item No.,Line Item Name,MDRM (CCFL),Detailed Description,Allowed Values,Format / Line Item Length
1,Loan Number,M142,"Loan Number - Report an identifier for a loan that will be the same from month to month. Reference numbers may be used in lieu of actual loan numbers as long as it meets these criteria. This loan identifier must uniquely identify any loan in the file. It must identify the loan for its entire life and must be unique (piggy-backs should be separated). If the BHC or IHC or SLHC is already submitting data to the OCC as part of the OCC Mortgage Metrics Data or OCC Home Equity Data, it is required that the BHC or IHC or SLHC use the same loan number for the FR Y-14M data schedules. However, if a BHC or IHC or SLHC has already been submitting different loan numbers for the same loan for the FR Y-14M and the OCC collections, the BHC or IHC or SLHC should continue submitting the same loan number it has been using for the FR Y-14M. Note that the FR Y-14M data population may include additional loans, which may not be part of the OCC data sample, and for such loans the general requirements listed in the schedule instructions will be applicable. Overall, the entire data file sent by a BHC or IHC or SLHC should have unique loan numbers across the entire submission.","A contributor-defined alphanumeric value up to 32 characters. Please refer to additional details listed on Page 8 of this document.",Character (32)
2,Loan Closing Date,M143,"Loan Closing Date - Report the date the loan originally closed. If the loan closing date is not available, then the origination date on the loan can be used instead to populate this line item. This line item will be used to determine the loan's vintage.",YYYYMMDD,YYYYMMDD
3,First Payment Date,M144,"First Payment Date - Report the date the borrower was scheduled to make the first payment on the loan, or first started making payments on the loan. This line item may be provided on a best efforts basis for loans serviced for others and loans acquired through mergers and acquisitions.",YYYYMMDD,YYYYMMDD
4,Property State,9200,"Property State - Report the state in which the property is located. If a loan is secured by two properties in different states and is flagged as a commercial loan in the Commercial Loan Flag field, then leave the Property State field blank.",Two-letter postal codes for the state.,Character (2)
5,Property ZIP Code,9220,Property Zip Code - Report the five-digit ZIP code.,"Five-digit, Include leading zeroes, e.g.: 00901, 10101",Character(5)
6,Original Loan Amount Disbursed,M147,"Original Loan Amount Disbursed - Report the dollar amount of the funds disbursed to the borrower at the time of loan closing. Amount of loan rounded to the nearest whole dollar.","e.g., 125000 for $125,000.00. Use banker's rounding.",Whole Number
7,Original Property Value,M148,"Original Property Value - Report the property value in dollars at the time the loan was originated, defined as the lesser of selling price or the appraised value of the property securing the mortgage at origination.","e.g., 125000 for $125,000.00. Use banker's rounding.",Whole Number
8,Original LTV,M149,"Original LTV - Report the original loan-to-value (LTV) ratio, which is the original loan amount divided by the lesser of the selling price or the appraised value of the property securing the mortgage at origination.","Provide as a fraction. E.g.: 0.8 for 80%, 1.05 for 105%","Numeric, to 2 decimals"
9,Original Combined LTV,M150,"Original Combined LTV - Report the original combined loan-to-value (CLTV) ratio, which is the original first loan amount and any junior liens at the time of origination divided by the lesser of the selling price or the appraised value of the property securing the mortgage at origination. This line item may be provided on a best efforts basis for loans serviced for others and loans acquired through mergers and acquisitions.","Provide as a fraction. E.g.: 0.8 for 80%, 1.05 for 105%","Numeric, to 2 decimals"
10,Income Documentation,M151,"Report how the borrower's income levels were documented at time of origination. Full - The borrower provided full verification of income levels via W2, pay stubs, tax returns, etc.; assets were verified; and other underwriting criteria were documented. Alt/Low - The mortgages qualified and underwritten under lender programs designed without requiring verification of employment, assets, mortgage/rental history and/or DTI (debt to income ratio) of the borrower. This categorization applies to any combination of the aforementioned limited documentation standards, excluding Stated Income programs. Stated - Stated Income includes all mortgages where the borrower was qualified for approval based on representation of income, without direct verification of either the source or amount of said income by the lender. Assets were not verified. This line item may be provided on a best efforts basis for loans serviced for others and loans acquired through mergers and acquisitions. Note: The Alt/Low - Lender or Stated - Lender categories should be used for those situations in which the BHC's, IHC's or SLHC's automated underwriting system suggested to a particular customer a low/no doc or stated income loan. Alt/Low - Borrower or Stated - Borrower refers to situations in which a borrower him/herself requested a low/no doc loan or a broker suggested one. Respondents should populate this line item in all cases. If the respondent is unable to sub classify the borrower's documentation level, report using the 7 Stated Unknown option.","1=Full; 2=Alt/Low-Lender; 3=Alt/Low-Borrower; 4=Alt/Low-Unknown; 5=Stated-Lender; 6=Stated-Borrower; 7=Stated-Unknown",Character (1)
