Line Item No.,Line Item Name,MDRM (CCFP),Detailed Description,Allowed Values,Format
1,Portfolio Segment ID,M240,Report the portfolio segment.,"1 = Serviced; 2 = Portfolio HFI Purchased Credit Deteriorated; 3 = Portfolio HFI FVO / HFS; 4 = Other Portfolio",Character(1)
2,Unpaid Principal Balance,M201,"Unpaid Principal Balance - Report the total principal amount outstanding as of the end of the month for the portfolio segment. The UPB should not reflect any accounting based write-downs and should only be reduced to zero when the loan has been liquidated (paid-in-full, charged-off, REO sold or Service transferred). Report in millions of dollars.",Current unpaid balance at end of the reporting month. Report in millions of dollars.,Whole Number
3,Loss / Write-down Amount,M241,"Loss / Write-down Amount - For all active loans, report all cumulative lifetime write-downs and reversals of loan principal and interest recorded as charge-offs against the Allowance for Credit Losses on Loans and Leases pursuant to FR Y-9C instructions. Also include all reversals of accrued but not collected interest. The loss-write down amount is the cumulative loss or principal write-down, and will equal the charge-offs incurred over the life of the loan.","Cumulative lifetime loss or principal write-down on loans in the portfolio segment for all active loans. Principal Write-downs and Losses should be expressed as positive numbers. Report in millions of dollars.",Whole Number
