Line Item No.,Line Item Name,MDRM (CCFL),Detailed Description,Allowed Values,Format / Line Item Length
91,Interest Type Conversion Duration,M233,"Report whether the interest type was converted from ARM to Fixed through loss mitigation, and the duration of the fixed rate period. This line item should only be populated for loans with a value in Line item 74 Modification Type indicating that a loan has been modified.","0 = Not converted to Fixed Rate; 1 = Converted to Fixed Rate for 1-36 Months; 2 = Converted to Fixed Rate for 37-60 Months; 3 = Converted to Fixed Rate for 61-120 Months; 4 = Converted to Fixed Rate for Greater than 120 Months",Character(1)
92,Purchased Credit Deteriorated Status,M234,"Report in field 92 whether any loans are accounted for as purchased credit-deteriorated. If the loan is a PCD loan, this line item should be a ""Y""; otherwise it should be ""N"". Note: None of the records should be left blank.","N = No; Y = Yes",Character(1)
93,Total Debt at Time of any Involuntary Termination,M235,"Report total debt at the time of any involuntary termination. Total debt should be reported at gross, not net values, and is comprised of: 1) Unpaid Principal Balance; 2) Interest pass through Amount (interest paid to the Investor to purchase loan out of pool or any prior years interest charged off at non-accrual status); 3) Total Corporate Advance (incl. Property Preservation and Attorney's fees); 4) Total Escrow Advance (taxes and insurance paid). Note: Any involuntary termination includes REO, Short Sale, Deed-in-lieu of foreclosure, Third Party Sale or Charge-off. Note: This line item is a required line item for Investor Type code values 4 (Private Securitized) and 7 (Portfolio) and best efforts for all others.","Whole Number e.g., 2123 for $2,122.81. Use banker's rounding.",Whole Number
94,Net Recovery Amount,M236,"Report the sales price net of costs of sales (e.g., sales commissions and buyer concessions). Note: Since net proceeds should be the same as Net Recovery Amount (Line item 94), report net proceeds in Line item 94 for short sales and third party sales, along with all other involuntary terminations. Since the net recovery amount cannot be computed until the loan has been sold (or charged off), you need to also obtain the sales price the property sold at and place the sales price of the property in Line item 121. Note: This line item is a required line item for Investor Type code values 4 (Private Securitized) and 7 (Portfolio) and best efforts for all others.","Whole Number e.g., 2123 for $2,122.81. Use banker's rounding.",Whole Number
95,Credit Enhanced Amount,M237,"Report the total amount of credit enhancement received that offset the loss. Could come from mortgage insurance proceeds, pool arrangements in deals, or other features of securities structures. Note: This line item is a required line item for Investor Type code values 4 (Private Securitized) and 7 (Portfolio) and best efforts for all others.","Whole Number e.g., 2123 for $2,122.81. Use banker's rounding.",Whole Number
96,Troubled Debt Restructure Flag,M238,"Troubled Debt Restructure Flag - Report whether a loan was modified as a Troubled Debt Restructuring (TDR), as defined in the FR Y-9C Glossary entry for ""Troubled Debt Restructuring"". All TDRs should be evaluated for credit losses as part of the Allowance for Credit Losses on Loans and Leases (ACL) analysis. This field only applies to portfolio loans. For non-portfolio loans leave this field blank.","Y=Yes; N=No",Character(1)
97,Reported as Bank Owned Flag,M239,"Reported as Bank-Owned Flag - Report whether the serviced for others loan is recorded on the bank's own balance sheet for accounting purposes. Applies only to loans with an Investor Code other than ""Portfolio"". Should be coded as Y for: GNMA Eligible Repurchases (FAS 140 ROAPs); Other Loans Reported On-Balance Sheet under FAS 140.","Y=Yes; N=No",Character(1)
98,Interest Rate Reduced (Retired September 2022),M262,Retired September 2022,,
99,Interest Rate Frozen,M232,"Report whether the interest rate was frozen and at a lower rate than if allowed to adjust through loss mitigation. For example, if a loan resetting from 4% to 6% is frozen at the 4% rate, the BHC or IHC or SLHC would report 'Y' for this line item. This line item should only be populated for loans with a value in Line item 74 (Modification Type).","Y=Yes; N=No",Character(1)
100,Term Extended (Retired September 2022),M929,Retired September 2022,,
