Line Item No.,Line Item Name,MDRM (CCFL),Detailed Description,Allowed Values,Format / Line Item Length
20,Loan Purpose Coding,M161,"Report the purpose for the loan origination. If the loan has multiple purposes, report the primary purpose. Commercial real estate (CRE) or commercial business purpose loans collateralized by 1-4 family residential mortgages should be coded as a 'Y'.","1=Purchase; 4=Rate / Term Refinance; 5=Cash-Out Refinance; 6=Other Refinance; 7=Home Improvement; 8=Debt Consolidation; 9=Education; A=Medical; R=Reverse Mortgage, including Home Equity Conversion Mortgage (HECM) loans; Y=Other; U=Unknown",Character(1)
21,Number of Units,M162,"Number of units to the property financed by the loan - Report the number of units of the property. If the actual number of units is not available for multi-family or 1-4 family properties, please code this line item with a 'U'. For CRE or commercial purpose mortgage loans on multiple properties that are submitted under this schedule, please code this line item with a 'Y'.","1=one unit; 2=two units; 3=three units; 4=four units; U=Unknown; Y=Other",Character(1)
22,Mortgage Insurance Coverage Percent at Origination,M163,"Report the mortgage insurance coverage percent at origination for loans with loan level mortgage insurance coverage. This field should remain unchanged even if the insurance coverage is changed or removed in future months.","Provide as a fraction. e.g.: 0.8 for 80%, 1.05 for 105%","Numeric, to 2 decimal places"
