Line Item No.,Line Item Name,MDRM (CCFL),Detailed Description,Allowed Values,Format / Line Item Length
120,Loss/Write down Date (Retired March 2020),M947,Retired March 2020,,
121,Sales Price of Property,M948,"Report the final sales price at which the property was disposed by the BHC or IHC or SLHC in the case of involuntary termination. Provide the same price as the BHC or IHC or SLHC would submit to public records data. Net proceeds from short sales or third party sales should be reported in Line item 94. Note: This line item is a required line item for Investor Type code values 4 (Private Securitized) and 7 (Portfolio) and best efforts for all others.","Whole Number e.g., 2123 for $2,122.81",Whole Number
122,Performance of Junior Lien(s) (Retired June 2016),M949,Retired June 2016,,
123,Ever 90+ DPD in the Past 12 months (Retired March 2020),M950,Retired March 2020,,
124,Commercial Loan Flag,M951,"Report whether the loan is a commercial real estate (CRE) or commercial business purpose loan or transaction. This line item is reserved for certain CRE or commercial business purpose loans secured by 1-4 residential properties where the underlying 1-4 residential loans are required to be reported on Schedule Y-9C as 1-4 residential mortgage loans.","0 = No. This loan is not a CRE or commercial business purpose loan.; 1 = Yes. This loan is a CRE or commercial business purpose loan.",Character(1)
125,Probability of Default - PD,M114,"Report the Probability of Default (PD) for the account as defined in the most recent capital framework. More specifically, report the PD associated with the account's corresponding segment. Note: Applicable only to firms subject to the advanced approaches rule. This item is required for BHC or IHC or SLHC-owned loans only.","A one in ten probability of default should be reported as 0.1.","Numeric, up to 5 decimals"
126,Loss Given Default - LGD,M115,"Report the Loss Given Default (LGD) for the account as defined in the most recent capital framework. More specifically, report the LGD associated to the account's corresponding segment. Note: Applicable only to firms subject to the advanced approaches rule. This item is required for BHC or IHC or SLHC-owned loans only.","A ninety percent loss given default should be reported as 0.9.","Numeric, up to 5 decimals"
127,Expected Loss Given Default - ELGD,M116,"Report the Expected Loss Given Default (ELGD) parameter for the account as defined in the most recent capital framework. More specifically, report the ELGD associated to the account's corresponding segment. Missing or unavailable values should be left blank. If the BHC or IHC or SLHC generates this field, they are required to report it. ELGD is an input into the LGD calculation. Report the BHC's empirically based best estimate of the long-run default-weighted average economic loss per dollar of EAD. Note: Applicable only to firms subject to the advanced approaches rule. Required for BHC or IHC or SLHC-owned loans only.","A ninety percent expected loss given default should be reported as 0.9.","Numeric, up to 5 decimals"
128,Exposure at Default - EAD,M117,"Report the dollar Exposure at Default (EAD) for the account as defined in the most recent capital framework. For open-ended exposures assign to all accounts in a particular segment the corresponding LEQ, CCF, or related parameters. After the parameter is assigned, calculate the account EAD. Abbreviations: LEQ = Loan-equivalent-exposure; CCF = Credit Conversion Factor. Note: Applicable only to firms subject to the advanced approaches rule. Required for BHC or IHC or SLHC-owned loans only.","Whole Number e.g., 5123 for $5,122.81",Whole Number
129,Entity Type,M952,"Report the registered entity type of the BHC, IHC or SLHC subsidiary that owns the reported loan. If the loan is not owned by the BHC or IHC or SLHC or its subsidiaries, report the entity type as 'Other.'","1 = National Bank; 2 = State Member Bank; 3 = Nonmember Bank; 4 = State Credit Union; 5 = Federal Credit Union; 6 = Non-bank Subsidiary; 0 = Other",Whole number
130,HFI FVO/HFS Flag,M953,"Portfolio HFI FVO / HFS Flag - Report whether all portfolio loans are held for investment (HFI) measured at fair value under a fair value option (FVO) or held for sale (HFS). Note: For non-portfolio loans, leave this line item blank.","Y= Yes; N = No",Character(1)
131,Interest Only Term - Original,M954,"Report the number of months where the loan payment is interest only. Provide this information based on the original loan terms.",Whole Number,Whole Number
