Line Item No.,Line Item Name,MDRM (CCFL),Detailed Description,Allowed Values,Format / Line Item Length
23,Property Type,M164,"Property Type - Report the property type. For one property with multiple uses, report as 'F' (Mixed Use). For properties with more than one piece of collateral, report as 'Z' (Other). If it is known that a property is in a planned unit development (PUD) and the underlying property type is also known, report the underlying property type. If it is known that the property is a PUD, but there is no information on the underlying property type, use 6=PUD.","1=Single Family Residential; 2=Condo; 3=Co-Op; 4=2-4 Units; 5=Townhouse; 6=Planned Unit Development; 7=5+ Units; E=Commercial; F=Mixed Use; M=Manufactured Housing; Z=Other; U=Unknown",Character(1)
24,Balloon Flag,M165,Balloon Flag - Report whether the mortgage has a balloon payment.,Y=Yes; N=No; U=Unknown,Character(1)
25,Balloon Term,M166,"Balloon Term (In Months) - For mortgages with a final balloon payment, report the term in months between the loan closing date and the due date for the final payment (based on maturity date) before the note resets (e.g., 84 months for a 7-year balloon).",Whole Number,Whole Number
26,Buy down Flag (Retired March 2020),M167,Retired,,
27,Interest Only at Origination,M168,"Interest Only at Origination Flag - Report whether the loan was an IO loan at the time of origination. That is, at origination, was the normal monthly payment for the loan just interest. An interest only (IO) mortgage is a nontraditional mortgage which allows the borrower to pay only the interest due on the loan for a specified number of years, and whose interest rate may fluctuate or be fixed. After the interest-only period, the rate may be fixed or fluctuate based on the prescribed index, with payments including both principal and interest.",Y=Yes; N=No; U=Unknown,Character(1)
28,Recourse Flag,M169,"Report whether there is recourse on a loan. Recourse on a loan refers to terms in the mortgage contract that give the owner of the note the right to pursue additional claims against the borrower beyond possession of the property.",Y=Yes; N=No; U=Unknown,Character(1)
29,ARM Initial Rate,M170,Report the initial interest rate on the loan.,"Provide as a fraction. e.g.: 0.0575 for 5.75%","Numeric, up to 5 decimals"
30,ARM Initial Rate Period,M171,"Report the ARM initial rate adjustment period (in months). Identifies the term, in months, from the time of origination to the first interest rate change date for ARMs. Report the initial fixed principal and interest payment period in months for adjustable rate hybrid loans.",Whole Number,Whole Number
31,ARM Periodic Interest Reset Period,M172,"Report the ARM Periodic Interest Reset Period (in Months). All of the ARM interest rate and payment variables should be populated with the origination values. Identifies the term, in months, from the end of the initial reset period to the next for the remaining life of the mortgage.",Whole Number,Whole Number
32,ARM Index,M173,"ARM Index - Report the index used as the basis for determining the monthly interest rate. All of the ARM interest rate and payment variables should be populated with the origination values. A BHC or IHC or SLHC using the Wall Street Journal prime rate should report the value '50' for Bank Prime Rate.","07=COSI - Cost of Savings Index; 10=Tbill Unknown Type; 11=Tbill 3mo; 12=Tbill 6mo; 13=Tbill 1yr; 14=Tbill 3yr; 15=Tbill 5yr; 1Z=Tbill Other; 20=COFI Unknown Type; 21=COFI 11th District; 22=COFI NM; 2Z=COFI Other; 30=LIBOR Unknown Type; 31=LIBOR 3mo; 32=LIBOR 6mo; 33=LIBOR 1yr; 3Z=LIBOR other; 40=FHLBB Ntl Mtg Rt; 50=Bank Prime Rate; 60=Certificate of Deposit; 70=FNMA/FHLMC; 80=MTA (Moving Treasury Avg); 81=LAMA(LIBOR Annual Moving Avg); 91=SOFR 1mo; 92=SOFR 3mo; 93=SOFR 6mo; 94=SOFR 1yr; 99=SOFR Unknown Type; 9Z=SOFR Other; ZZ=Other; UU=Unknown; B1=BSBY 1mo; B2=BSBY 3mo; B3=BSBY 6mo; B4=BSBY 1yr; B5=BSBY Unknown Type; BZ=BSBY Other",Character(2)
33,ARM Margin at Origination,M174,"ARM margin - Report the margin for adjustable rate loans. Report the rate that is added to the index to determine the monthly interest rate at origination of the loan.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, up to 5 decimals"
34,ARM Negative Amortization % Limit,M175,"ARM negative amortization % limit. Report the negative amortization limit expressed as a percent of original loan amount.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, up to 5 decimals"
35,ARM Periodic Rate Cap,M176,"ARM periodic rate cap - Report the periodic interest rate cap for adjustable rate loans. All of the ARM interest rate and payment variables should be populated with the origination values. Absolute rate cap (not spread from original)","Provide as a fraction. E.g.: 0.0175 for 1.75%","Numeric, up to 5 decimals"
36,ARM Periodic Rate Floor,M177,"ARM Periodic Rate Floor - Report the periodic interest rate floor for adjustable rate loans. All of the ARM interest rate and payment variables should be populated with the origination values. Absolute rate floor (not spread from original)","Provide as a fraction. E.g.: 0.0175 for 1.75%","Numeric, up to 5 decimals"
37,ARM Lifetime Rate Cap,M178,"ARM Lifetime Rate Cap - Report the lifetime interest rate for adjustable rate mortgages. Absolute rate cap (not spread from original). All of the ARM interest rate and payment variables should be populated with the origination values.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, up to 5 decimals"
38,ARM Lifetime Rate Floor,M179,"ARM Lifetime Rate Floor - Report the minimum lifetime interest rate for adjustable rate mortgages. Absolute rate floor (not spread from original). All of the ARM interest rate and payment variables should be populated with the origination values.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, up to 5 decimals"
39,ARM Periodic Pay Cap,M180,"Report the cap on monthly payments for adjustable rate mortgages. All of the ARM interest rate and payment variables should be populated with the origination values. Note: The periodic pay cap refers to the maximum percentage point increase over the previous payment. So for a $1,000 principal and interest (P&I) payment in the previous month, a 7.5% pay cap implies that the P&I payment next month cannot exceed $1,075 at the adjustment. Note that the 7.5% pay cap should be reported as a fraction, in this case 0.0750.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, up to 5 decimals"
40,ARM Periodic Pay Floor,M181,"Report the floor on monthly payments for adjustable rate mortgages. All of the ARM interest rate and payment variables should be populated with the origination values.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, up to 5 decimals"
41,Option ARM Flag,M182,"Option ARM at Origination - Report whether the loan is a payment Option ARM at origination. A payment Option ARM is a nontraditional mortgage that allows the borrower to choose from a number of different payment options. For example, each month, the borrower may choose: a minimum payment option based on a 'start' or introductory interest rate, an interest-only payment option based on the fully indexed interest rate, or a fully amortizing principal and interest payment option based on a 15-year or 30-year loan term, plus any required escrow payments. Payments on the minimum payment option can be less than the interest accruing on the loan, resulting in negative amortization. The interest-only option avoids negative amortization, but does not provide for principal amortization. After a specified number of years, or if the loan reaches a certain negative amortization cap, the required monthly payment amount is recast to require payments that will fully amortize the outstanding balance.",Y=Yes; N=No,Character(1)
42,Negative Amortization Flag,M183,"Negative Amortization Flag - Report all mortgages that, as part of their contract, have or potentially can have a feature that allows the borrower to pay an amount that is less than the interest accruing on the mortgage, resulting in negative amortization.",Y=Yes; N=No,Character(1)
43,Original Loan Term,M184,"Original Loan Term - Report the term in months on the original loan. Note: Do not change the original loan term in the case of loan modifications. This line item is intended to capture the loan term at loan origination.","Whole Number. Allowable values: 0 - 600",Whole Number
44,Original Interest Rate,M185,Original Interest Rate - Report the annual percentage rate as specified on the mortgage note at the time of origination.,"Provide as a fraction. e.g.: 0.0575 for 5.75%","Numeric, up to 5 decimal places"
45,Principal and Interest (P&I) Amount at Origination,M186,"Principal and Interest (P&I) Amount at Origination (in dollars) - Report the scheduled principal and interest amount at the origination of the loan. This line item may be provided on a best efforts basis for loans serviced for others and loans acquired through mergers and acquisitions.","Whole Number. e.g., 5123 for $5,122.81. Use banker's rounding.",Whole Number
46,Pre-Payment Penalty Flag,M187,"Pre-payment Penalty Flag - Report whether the loan carries a penalty if the borrower prepays the loan during a specified period of time.",Y=Yes; N=No; U=Unknown,Character(1)
47,Pre-Payment Penalty Term,M188,"Pre-Payment Penalty Term (In Months) - Report the time period from loan origination that a prepayment penalty applies (if applicable). This is an origination line item and should specify the time period from origination for which a prepayment penalty would have applied. It should not change with the reporting month.","Whole number in months. e.g., 36 for 36 months (3 years).",Whole Number
48,Current Credit Bureau Score,M189,"Report the current credit score of the borrower using a commercially available credit bureau score (for a definition of a commercially available credit bureau score, see the general instructions). Provide the most recently determined commercially available credit score of the borrower. Report the credit score vendor in item 136 and the credit score version in item 137. The current credit bureau score related fields are required for portfolio loans and optional for loans that the BHC, IHC, or SLHC services for others. Do not populate this field with origination data. This field must be updated at least one month within the quarter, and refreshed at least one month within every subsequent quarter.","Provider as a whole number, e.g. 723",Whole Number
49,Interest Only in Reporting Month,M190,"Interest Only in Reporting Month - Report whether the minimum payment in the reporting month represents only the interest due on the loan. That is, at end-of-month for the reporting month, was the minimum monthly payment for the loan just interest.",N=Was not I/O in reporting month; Y=Was I/O in reporting month; U=Unknown,Character(1)
50,Investor Type,M191,"Report the owner of the mortgage. GNMA - Serviced mortgages that are owned by GNMA. FNMA - Serviced mortgages that are owned by FNMA. FHLMC - Serviced mortgages that are owned by FHLMC. Private Securitized - Loans securitized by private-label (non-Government, non-GSE) issuers. Please include serviced loans. GNMA Buyout Loans - Loans bought out of GNMA securities pools. Local Housing Authority - Loans bought by LHAs. Portfolio - Mortgages owned and held on the bank's balance sheet. Include both Held for Sale or Held for Investment in this category. Federal Home Loan Bank (FHLB) - Loans or securities bought by FHLBs. Unknown. 'Other Unrelated Entity' refers to investors that do not include any of the major investor types listed in values 0-7, and can include portfolio loans serviced for others.","1=GNMA; 2=FNMA; 3=FHLMC; 4=Private Securitized; 5=GNMA Buyout Loans; 6=Local Housing Authority; 7=Portfolio; 8=Serviced for Other Unrelated Entity; 0=Federal Home Loan Bank (FHLB); U=Unknown",Character(1)
51,Servicer Advances (Retired March 2020),M192,Retired,,
52,Option ARM in Reporting Month,M193,"Option ARM in Reporting Month - Report whether a mortgage allows a borrower a choice of payment options in the reporting month.",N=Was not Option ARM in the reporting month; Y=Was Option ARM in the reporting month,Character(1)
53,Bankruptcy flag,M194,"Bankruptcy flag - Report all loans where the servicer has been notified of the borrowers' bankruptcy declaration. Indicates whether the borrower is in bankruptcy as of the end of the reporting month. Respondents should include co-borrowers.",N=Not in bankruptcy in reporting month; Y=In bankruptcy in reporting month,Character(1)
54,Bankruptcy Chapter,M195,"Bankruptcy Chapter - For all the loans with a Bankruptcy Flag, report the Bankruptcy Chapter Type. Note: If the Bankruptcy Flag (Line item 53) is coded with a value of 'N', then the Bankruptcy Chapter (Line item 54) should be blank, i.e. null value. Do not populate this line item with any other value.","7=Chapter 7; 9=Chapter 9; 11=Chapter 11; 12=Chapter 12; 13=Chapter 13; U=Unknown",Character(2)
55,Next Payment Due Date,M196,"Next payment due date - Report the due date for the next outstanding payment on the mortgage. For delinquent loans this date will be in the past. This line item should be left blank for accounts that closed in the reporting month. In cases where the debtor is in Chapter 13 bankruptcy, the contractual due date should be reported. If the contractual due date for a loan entering bankruptcy is not known due to a pending court response, report the next pay due date as per the loan terms. Do not leave the due date field blank.",YYYYMMDD,YYYYMMDD
56,Current Interest Rate,M197,Current Interest Rate - Report the annual percentage rate of the mortgage as of the last day of the reporting month.,"Provide as a fraction. E.g.: 0.1075 for 10.75%","Numeric, up to 5 decimals"
57,Remaining Term,M198,"Report the remaining term of the loan in months. Note: For the Remaining Term line items in the FR Y-14M First Lien and Home Equity schedules, a value of 0 should be assigned if a loan is past maturity.",Whole Number,Whole Number
58,Scheduled Principal Balance Amount (Retired March 2020),M199,Retired,,
59,Principal and Interest (P&I) Amount Current,M200,"Principal and Interest (P&I) Amount Current - Report the scheduled principal and interest due from the borrower in the reporting month. A loan in the process of paying off in a reporting month can be reported with a value of 0 for P&I due in that month. For balloon loans in the process of paying off in a reporting month, report the full amount due on the loan that is paying off. For REO records for which original P&I is not available it is also permissible to report a value of 0 in this field. In the case where mortgage bills quarterly rather than monthly, report the line item with a zero value for the off quarter months. Also, if a new loan does not bill until the following month, then report the amount as 0 for the current reporting month submission. Note: This line item should contain scheduled principal and interest due from the borrower in the reporting month. If it is in the interest only period, then the interest only payment would be used. Do not include past due amounts.","Whole Number. e.g., 5123 for $5,122.81. Use banker's rounding.",Whole Number
60,Unpaid Principal Balance,M201,"Unpaid Principal Balance - Report the total principal amount outstanding as of the end of the month. The UPB should not reflect any accounting based write-downs and should only be reduced to zero when the loan has been liquidated - either paid-in-full, charged-off, REO sold or Service transferred.","Current unpaid balance at end of the reporting month rounded to the nearest dollar. e.g., 32123 for $32,122.81. Use banker's rounding",Whole Number
61,Foreclosure Sale Date,M202,"Report the date that the foreclosure sale occurs on the subject property. This is typically the end of the foreclosure process, unless the borrower is in a state that allows for the right of redemption. Note: If a loan is not in foreclosure, then the Foreclosure Sale Date line item (Line item 61), Foreclosure Referral Date line item (Line item 62) should be blank, i.e. null value. Do not populate this line item with a 0 date value, or with any other value. Populate the date for any loan that has completed foreclosure sale whether or not the title was acquired by the bank. For the borrower that is in a state that allows for right of redemption, you should still report the appropriate foreclosure sale date on that loan.",YYYYMMDD,YYYYMMDD
62,Foreclosure Referral Date,M203,"Foreclosure Referral Date - Report the date that the mortgage was referred to an attorney for the purpose of initiating foreclosure proceedings. This date should reflect the referral date of currently active foreclosure process. Loans cured from foreclosure should not have a referral date. Note: If a loan is not in foreclosure, then the Foreclosure Sale Date line item (Line item 61), Foreclosure Referral Date line item (Line item 62) should be blank, i.e. null value. Do not populate this line item with a 0 date value, or with any other value.",YYYYMMDD,YYYYMMDD
63,Foreclosure Suspended,M204,"Foreclosure Suspended - Report all loans where foreclosure activities are being suspended regardless of the reason for suspension. Flag indicating an active foreclosure suspension. Note: The code value for this line item should follow public reporting of this item.","N=Foreclosure was not suspended in the reporting month (also code for loans not in foreclosure); Y=Foreclosure was suspended as of the last day of the reporting month.",Character(1)
64,Paid-in-Full Coding,M205,"Report the liquidation method for any loan that was liquidated during the reporting month. If a commercial loan is still awaiting interest and fees, report as '0'. Not Paid In Full - Coded for any home equity loans having an outstanding balance as of month-end as well as all active lines of credit. Voluntary Payoff - Code all instances where the loan has been paid in full by the borrower either through refinance, sale of the property or principal payment in full. Involuntary Liquidation - Code all instances where the loan has been liquidated either through foreclosure proceedings or another settlement option resulting in incomplete repayment of principal. Include short-sales, charge-offs, as well as REO liquidations. This includes loans active in the month prior to the reporting month that were sold at a foreclosure sale and taken into REO in the reporting month. Also include all instances where credit has been resolved (i.e. no longer pursuing collection) but not through foreclosures, servicing transfers, or payments made by the home owner (i.e. not sale, settlement for less than full amount, short sales, or Deeds in Lieu). Servicing Transfer - Code all instances where the servicing of the loan has been transferred or sold to another institution during the reporting month.","0=Not paid-in-full; 1=Voluntary payoff; 2=Involuntary liquidation (foreclosure); 3=Servicing transfer",Character(1)
65,Foreclosure Status,M206,"Foreclosure Status - Report the current foreclosure status as of the end of the reporting month. If a loan was coded as Foreclosure Status '1' in the prior month, then in the month the loan liquidates, code the field Foreclosure Status as '2'. In foreclosure, pre-sale - Coded for any mortgage that has been referred to an attorney for loss mitigation proceedings but has not yet gone to foreclosure sale. Post-sale Foreclosure - Coded for any loan where the bank has obtained title at foreclosure sale, but the property is not yet actively being marketed. Typically this will include loans that are in redemption or being repaired. If this information is not available, please code the loan as REO. This includes loans active in the month prior to the reporting month that were sold at a foreclosure sale and taken into REO in the reporting month. In the month the loan liquidates, code the field Foreclosure Status as '2'. REO - Coded for any mortgage where the bank has obtained title at foreclosure sale and the property is on the market and available for sale. Also code instances where the bank has obtained title but the availability for sale is not known.","0=Not in foreclosure; 1=In foreclosure, pre-sale; 2=Post-sale foreclosure, Redemption, non-REO (if available, otherwise REO); 3=REO",Character(1)
66,Repurchase Type,M207,"Loan Repurchase Type - Report the loan repurchase type. The code value of '1: In Process' means that a request has been made for repurchase of the loan by counterparty. Include both loans where repurchase is being finalized and loans where agreement to repurchase has not yet occurred. Only report a Repurchase Type of 1, 2, or 3 when the BHC or IHC or SLHC has received a repurchase request for a particular loan from a counterparty. If the BHC or IHC or SLHC voluntarily initiates a repurchase then report a Repurchase Type value of '0'. Legal settlements should only be reported in Line items 66 and 67 if the legal action focused on repurchase of a fixed set of loans. Blanket legal settlements concerning loan losses that are not tied to particular loan repurchase requests should not be reported with these line items. Make Whole and Loss Share agreements should not affect the values reported for these line items if these agreements are made after loan liquidation [only loans that are active should be reported]. If a repurchase request was made prior to liquidation of these loans then this is reflected in Line items 66 and 67.","0=None; 1=In Process; 2=Complete & Repurchased; 3=Complete and NO Repurchase",Character(1)
67,Repurchase Request Date,M208,"Repurchase Request Date - Report the repurchase request date. The repurchase request date is the date of repurchase requested by the counterparty.",YYYYMMDD,YYYYMMDD
68,Refreshed Property Value,M209,"Refreshed property value - Report the most current property value if updated subsequent to loan origination. Only provide a refreshed value when it is based on a property-specific valuation method (i.e., do not provide a refreshed property value based solely on applying a broad valuation index to all properties in geographic area.) Refreshed values are expected to be populated for modified loans only and the information to be collected at the time modification terms are being set. These are optional for other loans. The refreshed LTV refers to the servicer periodically updating the estimate of value to recalculate loan-to-value using the current loan balance. The Refreshed Property Value, Refreshed Property Valuation Method, and Most Recent Property Valuation Date line items refer to the same refreshed property valuation instance. If the property has been valued subsequent to origination, please provide the most recent property valuation date, the valuation method, and the property value. Do not report where the refreshed property value was not obtained within the last year.","e.g. 125000 for $125,000.00",Whole Number
