Table: Stressed VaR-Based Measure (SVBM) - CIB and Firm
"Three months ended March 31, 2024 (in millions)",Avg,Min,Max,"March 31, 2024"
CIB 10-day SVBM,310,265,374,336
Firm 10-day SVBM,313,262,367,334
