Table: Aggregate Correlation Trading Positions
"March 31, 2024 (in millions)","Notional amount (a)","Fair value (b)"
Positions modeled in CRM,2305,-1288
Positions not modeled in CRM,-1158,-4
Total correlation trading positions,1147,-1292
