Table: Derivative Transactions - Components of Total Derivative Exposure
"(in millions)","March 31, 2024"
Replacement cost for all derivative transactions,113770
"Add-on amounts for potential future exposure (PFE) for all derivative transactions",198861
Gross-up for collateral posted in derivative transactions if collateral is deducted from on-balance sheet assets,124609
Less: Deduction of receivable assets for qualifying cash variation margin posted in derivative transactions,124609
"Less: Exempted exposures to central counterparties (CCPs) in cleared transactions",23621
Adjusted effective notional principal amount of sold credit protection,552845
Less: Effective notional principal amount offsets and PFE deductions for sold credit protection,487826
"Total derivative exposure (a)",354029
Less: On-balance-sheet average derivative receivables,80306
Adjustment for derivative transactions,273723
