Table: Capital Ratio Requirements and Well-Capitalized Ratios
,Capital ratio requirements,,Well-capitalized ratios,
Capital ratios,"BHC (b)","IDI (c)","BHC (d)","IDI (e)"
CET1 capital,11.5%,7.0%,NA (f),6.5%
Tier 1 capital,13.0%,8.5%,6.0%,8.0%
Total capital,15.0%,10.5%,10.0%,10.0%
Tier 1 leverage,4.0%,4.0%,NA (f),5.0%
"SLR (a)",5.0%,6.0%,NA (f),6.0%
